变频器故障码,故障描述/现象,故障原因,故障处理
42,LSC 过电流1a/变频器启动到S6-Armed后，过1S左右LSCcur上升到150A左右（正常时50A），同时lincur1/2/3也上升到240A所有，故障产生。,LSC IGBT检测到过电流,"1.核对变频器参数是否正确，若为低穿改造前机组重新读写变频器参数到read-OK。
2.如果变频器只能加载到低负荷，检查变频器机侧和网侧IGBT上外接电缆是否接反。
3.如果PLC 内部Glo菜单下OutCon_FB中参数DemRecCurLSC一直维持在50A，说明PLC控制没问题，属于PLC与PM3000间参数读写或变频器本身问题。
4.如果该故障是业主箱变35KV跌落保险烧坏-恢复后测试变频器到网侧接触器吸合瞬间产生，且断开滤波回路125A保险后正常，则需检查网侧滤波回路（滤波电阻、电容）是否正常，有时候使用万用表或电容表测的电容容量正常，但实际使用异常，可以更换排查。"
43,LSC 过电流2a,LSC IGBT检测到过电流,同上
44,LSC 过电流3a,LSC IGBT检测到过电流,同上
50,"LSC IGBT去饱和故障1a/机侧变频器启动报/在超导人员更换完LSC,GSC控制板后，运行不到一天报故障",LSC IGBT 1a工作在去饱区域次数超限,"1.复位系统；
2.变频器断电，直流母线放电。
3.网侧变频器与机侧变频器外接电缆可能接反。
4.更换LSC。
5.更换PM3000变频器"
51,LSC IGBT去饱和故障2a/机侧变频器启动报,LSC IGBT 2a工作在去饱区域次数超限,同上
52,LSC IGBT去饱和故障3a/机侧变频器启动报,LSC IGBT 3a工作在去饱区域次数超限,同上
58,LSC IGBT去饱和1a次数超过最大值,LSC IGBT去饱和1a次数超过最大值,更换LSC
59,LSC IGBT去饱和2a次数超过最大值,LSC IGBT去饱和2a次数超过最大值,更换LSC
60,LSC IGBT去饱和3a次数超过最大值,LSC IGBT去饱和3a次数超过最大值,更换LSC
65,,,1.更换PM3000变频器
66,LSC外部故障,LSC检测到外部负载故障,"1.检查机网侧变频器外接电缆是否存在破损、短路问题。
2.检查网侧电抗、滤波回路等是否存在问题。                    "
67,LSC外部负载故障1a,LSC检测到外部负载故障,同上
68,LSC外部负载故障2a,LSC检测到外部负载故障,同上
69,LSC外部负载故障3a,LSC检测到外部负载故障,同上
75,LSC初始化失败,LSC启动时初始化出错,"1.断电重启。
2.变频器断电，直流母线放电。
3.重新下载LSC程序。
4.更换LSC。"
76,LSC CPLD复位错误,LSC启动时初始化出错,同上
77,LSC DSPB通讯错误,LSC启动时初始化出错,同上
78,LSC CPLD初始化失败,LSC启动时初始化出错,同上
79,LSC 电网缺相,电网或电网检测问题,"1.检查电网是否正常。
2.检查电网电压测量保险是否正常。
3.检查滤波回路是否正常。"
80,LSC 15V1电源故障,硬件故障,"1.变频器断电，直流母线放电。
2.更换LSC。"
81,LSC 15V2电源故障,硬件故障,同上
82,LSC 1a电流反馈错误,电流测量错误,同上
83,LSC 2a电流反馈错误,电流测量错误,同上
84,LSC 3a电流反馈错误,电流测量错误,同上
90～99,LSC A/D电流不平衡错误X=1～16,软件故障,"1.检查电网电压是否确实低。
2.检查电压检测回路是否有问题。
3.LVRT未技改机组，重新写读变频器参数。
4.更换PM3000变频器"
100,网测L1相A/D电流不平衡,软件故障,"1.变频器断电，直流母线放电。
2.LSC更新程序。
3.更换LSC。"
101,网测L2相A/D电流不平衡,软件故障,同上
102,网测L3相A/D电流不平衡,软件故障,同上
106,LSC不能自复位,软件故障,同上
107,LSC同步故障,LSC与GSC通讯不同步,"1.检查LSC至GSC之间的光纤通讯。
2.变频器断电，直流母线放电重启。
3.LSC更新程序。
4.更换LSC。"
109,LSC检测到UV电容反馈错误,硬件故障,"1.变频器断电，直流母线放电重启。
2.更换LSC。"
111,LSC 5ms CAN通讯错误,LSC与GSC通讯不同步,"1.检查LSC至GSC之间的光纤通讯。
2.变频器断电，直流母线放电重启。
3.LSC更新程序。
4.更换LSC。"
112,LSC 5ms触发错误,LSC与GSC通讯不同步,"1.检查LSC至GSC之间的光纤通讯。
2.变频器断电，直流母线放电重启。
3.LSC更新程序。
4.更换LSC。"
113,LSC 网侧接触器故障,网侧接触器状态错误,1.检查网侧接触器及反馈。
114,LSC 网侧频率故障,电网问题,1.如果频率不显示，检查电网相序。                    2.检查电网频率。
115,LSC CAN快速通讯错误 /更换完PM3000后报此故障,PLC与变频器CAN通讯中断,"1.检查PLC至变频器CAN通讯插头线路连接。
2.检查LSC至GSC之间的光纤通讯。
3.变频器断电，直流母线放电重启。
4.LSC更新程序。
5.更换LSC。"
129,GSC CAN Bus中断,PLC与变频器CAN通讯中断,"1.检查PLC至变频器之间CAN通讯线路连接。
2.检查CAN-Spider至变频器之间的光纤连接。
3.检查GSC至LSC之间的光纤连接。
4.如果ConErrsto304、305同时报出，检查CAN-Spider是否有问题。
5.检查变频器是否有问题，如果与ConErrsto304同时报，检查LSC；如果与ConErrsto305同时报，检查GSC。
6.检查CAN-bus总线上120Ω终端电阻。"
130,GSC CAN 通讯过速,通讯问题，机侧变频器接收到数据过多,"1.检查PLC与变频器及变频器之间的光纤通讯。
2.变频器断电，直流母线放电重启。
3.GSC更新程序。
4.更换GSC。"
131,GSC参数校验错误/通常在更新程序时出现,数据检查传输出错,1.变频器断电，直流母线放电重启。                      2.GSC更新程序。                                            3.更换GSC。
132,GSC通讯超时,软、硬件故障,"1.检查PLC与变频器及变频器之间的光纤通讯。
2.变频器断电，直流母线放电重启。
3.GSC更新程序。
4.更换GSC。"
134,GSC DSP同步信号丢失,软、硬件故障,"1.变频器断电，直流母线放电重启。
2.GSC更新程序。
3.更换GSC。"
135,GSC 直流母线过载,直流母线过压,"1.变频器断电，直流母线放电。
2.检查Crowbar单元（变频器至Crowbar的光纤，Crowbar控制器，二极管，晶闸管，放电电阻）。
3.如果LSC未检测到过压，更换GSC。"
136,GSC电网电压高,电网故障,"1.检查电网电压是否确实高。
2.检查电网电流是否平衡。
3.LVRT未技改机组，重新写读变频器参数。                     "
137,"GSC电网电压低/运行正常，在超导人员更换完LSC,GSC控制板后，做变频器测试到网侧高负载就报故障，无法运行",电网故障,"1.检查电网电压是否确实低。
2.检查电压检测回路是否有问题。
3.LVRT未技改机组，重新写读变频器参数。
4.更换PM3000变频器"
138,GSC接地故障,GSC测得三相电网电流矢量之和不为0,"1.检查发电机转子回路接线、阻值是否正常。
2.检查机侧电抗及其接线是否有损坏。                    "
139,GSC硬件过压,直流母线过压,"1.变频器断电，直流母线放电。
2.检查Crowbar单元（变频器至Crowbar的光纤，Crowbar控制器，二极管，晶闸管，放电电阻）。
3.更换GSC。"
140,GSC 48V电源故障,硬件故障,"1.检查变频器48V供电是否正常。
2.变频器断电，直流母线放电。
3.更换GSC。"
141,GSC 5V电源故障,硬件故障,"1.检查变频器5V供电是否正常。
2.变频器断电，直流母线放电。
3.更换GSC。"
142,GSC 预充电错误,预充电失败,"1.检查预充电整流桥。
2.检查预充电接触器及控制、反馈回路线路。
3.检查预充电电阻。"
143,GSC 1a过温,GSC检测到过温,"1.检查水冷系统是否正常，水阀是否打开。
2.检查水冷系统中是否有过多的空气，打开放气阀放气。3.检查水冷系统中冷水温度是否低于热水温度2度以上。4.GSC测温传感器可能损坏，更换GSC。"
144,GSC 2a过温,GSC检测到过温,同上
145,GSC 3a过温,GSC检测到过温,同上
147,GSC 1b过温,GSC检测到过温,同上
148,GSC 2b过温,GSC检测到过温,同上
149,GSC 3b过温,GSC检测到过温,同上
151,GSC 1a低温,GSC检测到低温,"1.检查控制柜内加热器及柜内温度。
2.检查柜内加热接触器。
3.GSC测温传感器可能损坏，更换GSC。"
152,GSC 2a低温,GSC检测到低温,同上
153,GSC 3a低温,GSC检测到低温,同上
155,GSC 1b低温,GSC检测到低温,同上
156,GSC 2b低温,GSC检测到低温,同上
157,GSC 3b低温,GSC检测到低温,同上
159,GSC内部过温,CPU控制板检测到过温,"1.变频器断电，直流母线放电。
2.更换GSC。"
160,GSC低温,GSC检测到温度过低,"1.检查柜内加热器是否正常。
2.检查柜内加热器接触器。
3.检查水冷循环系统是否有空气顿塞。
4.GSC测温传感器可能损坏，更换GSC。"
161、162,GSC SCI校验错误,程序更新时产生,"1.变频器断电，直流母线放电。
2.重新更新程序参数。
3.更换GSC。"
163、164,GSC SCI接收错误,程序更新产生,同上
165,GSC 软件过压,GSC检测到直流母线电压高,"1.变频器断电，直流母线放电。
2.更换GSC。"
166,GSC 软件欠压,GSC检测到直流母线电压低,同上
167,GSC看门狗时间错误,软件故障,"1.变频器断电，直流母线放电。
2.更新变频器程序。
3.更换GSC。"
168,GSC运行序列错误,软件故障,同上
169,GSC停止序列错误,软件故障,同上
170,GSC 过电流1a/刹车打开下，手动测试变频器到GSC就报/运行3-5分钟后报24号故障，故障发生时发电机引起的噪音很大，发电机的声音就象拖拉机一样，同时报242号振动故障/Crowbar测试报此故障,GSC IGBT 1a相过电流,"1.检查机侧变频器至发电机转子线路连接是否松动、破皮等。
2.检查发电机碳刷、集电环等工作是否良好。
3.如果只报1a相过电流，更换发电机转子到GSC的电缆相序（三相平移，如：原先顺序为KLM，现转换为MKL），如果报其他相过电流，则与变频器关系不大，可能是发电机转子接地或相间短路导致，或者是集电环放电导致。
4.如果1a、2a、3a过电流都报或循环报，则变频器可能性较大，更换GSC变频器。
5.使用测试仪器ALL-TEST PRO TM 31测发电机相位角，如不符合要求表明发电机损坏。
6.发电机转子绕组可能出现匝间短路。
7.如果大风天气报，若无备件可以限功率先运行。
8.变频器上网侧外接电缆与机侧外接电缆接反（网侧1a与机侧1a接反）。"
171,GSC 过电流2a,GSC IGBT 2a相过电流,同上
172,GSC 过电流3a,GSC IGBT 3a相过电流,同上
174,GSC 过电流1b,GSC IGBT 1b相过电流,同上
175,GSC 过电流2b,GSC IGBT 2b相过电流,同上
176,GSC 过电流3b,GSC IGBT 3b相过电流,同上
178,GSC IGBT去饱和故障1a/机侧变频器启动报,GSC IGBT 1a工作在去饱区域次数超限,"1.复位系统；
2.变频器断电，直流母线放电。
3.网侧变频器与机侧变频器外接电缆可能接反。
4.更换GSC。"
179,GSC IGBT去饱和故障2a/机侧变频器启动报,GSC IGBT 2a工作在去饱区域次数超限,同上
180,GSC IGBT去饱和故障3a/机侧变频器启动报,GSC IGBT 3a工作在去饱区域次数超限,同上
182,GSC IGBT去饱和故障1b/机侧变频器启动报,GSC IGBT 1b工作在去饱区域次数超限,同上
183,GSC IGBT去饱和故障2b/机侧变频器启动报,GSC IGBT 2b工作在去饱区域次数超限,同上
184,GSC IGBT去饱和故障3b/机侧变频器启动报,GSC IGBT 3b工作在去饱区域次数超限,同上
186,GSC IGBT去饱和1a次数超过最大值,GSC IGBT去饱和1a次数超过最大值,更换GSC
187,GSC IGBT去饱和2a次数超过最大值,GSC IGBT去饱和2a次数超过最大值,更换GSC
188,GSC IGBT去饱和3a次数超过最大值,GSC IGBT去饱和3a次数超过最大值,更换GSC
190,GSC IGBT去饱和1b次数超过最大值,GSC IGBT去饱和1b次数超过最大值,更换GSC
191,GSC IGBT去饱和2b次数超过最大值,GSC IGBT去饱和2b次数超过最大值,更换GSC
192,GSC IGBT去饱和3b次数超过最大值,GSC IGBT去饱和3b次数超过最大值,更换GSC
194,GSC外部故障,GSC检测到外部负载故障,"1.检查机侧变频器外接电缆是否存在破损、短路问题。
2.检查发电机转子、集电环、碳刷是否存在问题。                    "
195,GSC外部负载故障1a,GSC检测到外部负载故障,同上
196,GSC外部负载故障2a,GSC检测到外部负载故障,同上
197,GSC外部负载故障3a,GSC检测到外部负载故障,同上
199,GSC外部负载故障1b,GSC检测到外部负载故障,同上
200,GSC外部负载故障2b,GSC检测到外部负载故障,同上
201,GSC外部负载故障3b,GSC检测到外部负载故障,同上
203,GSC初始化失败,GSC启动时初始化出错,"1.断电重启。
2.变频器断电，直流母线放电。
3.重新下载GSC程序。
4.更换GSC。"
204,GSC CPLD复位错误,GSC启动时初始化出错,同上
205,GSC DSPB通讯错误,GSC启动时初始化出错,同上
206,GSC CPLD初始化失败,GSC启动时初始化出错,同上
208,GSC 15V1电源故障,硬件故障,"1.变频器断电，直流母线放电。
2.更换GSC。"
209,GSC 15V2电源故障,硬件故障,同上
210,GSC 1a电流反馈错误,电流测量错误,同上
211,GSC 2a电流反馈错误,电流测量错误,同上
212,GSC 3a电流反馈错误,电流测量错误,同上
214,GSC 1b电流反馈错误,电流测量错误,同上
215,GSC 2b电流反馈错误,电流测量错误,同上
216,GSC 3b电流反馈错误,电流测量错误,同上
"218、219,
220～229，230～233",GSC A/D电流不平衡错误X=1～16,软件故障,"1.变频器断电，直流母线放电。
2.重新下载变频器程序。
3.更换变频器。"
234,GSC 不能自复位,软件故障,同上
235,GSC 同步信号丢失,通讯错误,"1.检查LSC至GSC之间的光纤通讯。
2.变频器断电，直流母线放电重启。
3.GSC更新程序。
4.更换GSC。"
236,GSC 编码器信号丢失,GSC检测到发电机编码器脉冲信号丢失,"1.检查发电机编码器。
2.检查变频器上编码器信号接线及电路板。
3.检查编码器外接电缆。
4.更换编码器。
"
237,GSC UV电容电压反馈故障,硬件故障,"1.变频器断电，直流母线放电。
2.更换GSC。"
238,GSC Crowbar错误/变频器自检过不去，始终报238，K258.2继电器灯始终不亮；Crowbar测试单报ConErrSto238,变频器发出Crowbar触发信号,"正常是Crowbar测试时与ConErrSto306同时报，若不是，检查：
1.如果单报ConErrSto238,说明变频器已经发送信号触发Crowbar，但Crowbar并未真正触发或触发后没有反馈信号给变频器。
2.紧固B312.7输出24v线路。
3.更换变频器大电路板。
4.紧固X312.6端子上线路等。
5.检查Crowbar单元相关线路及光纤反馈。
"
239,GSC 5ms CAN通讯出错,LSC与GSC通讯不同步,"1.检查LSC至GSC之间的光纤通讯。
2.变频器断电，直流母线放电重启。
3.GSC更新程序。
4.更换GSC。"
240,GSC 5ms 触发出错,LSC与GSC通讯不同步,"1.检查LSC至GSC之间的光纤通讯。
2.变频器断电，直流母线放电重启。
3.GSC更新程序。
4.更换GSC。"
1、242,只在待风状态下报此故障；复位后隔两秒故障又出现,光纤信号传输不良；LSC问题,"1.检查LSC到CAN Spider板间的光纤
2.更换LSC"
243,GSC CAN快速通讯错误 /更换完PM3000后报此故障,PLC与变频器CAN通讯中断,"1.检查PLC至变频器CAN通讯插头线路连接。
2.检查LSC至GSC之间的光纤通讯。
3.变频器断电，直流母线放电重启。
4.GSC更新程序。
5.更换GSC。"
252,"(LEMFBKF),更换PM3000变频器大电路板后，一测试crowbar就报此故障，且无法复位，只有变频器断电后才能复位",Crowbar测试时，PM3000读取不到电流互感器测出的电流,"1. 检测紧固PM3000大电路板上从机测IGBT电流互感器过来的接线插头。
2. PM3000大电路板上与机测IGBT电流互感器的接线口插头损坏，更换大电路板。"
256,过频,频率过高,1.检查电网频率
257,频率过低,频率过低,"1.检查电网频率
2.检查电网电压相序。"
258,电网L1相故障,电网L1相电流故障,"1.检查电网电压是否正常。
2.检查F300.5滤波保险及滤波回路器件是否正常。"
259,电网L2相故障,电网L2相电流故障,同上
260,电网L3相故障,电网L3相电流故障,同上
261,电网L1过电压,检测到过电压,1.检查电网电压
262,电网L2过电压,检测到过电压,同上
263,电网L3过电压,检测到过电压,同上
264,电网L1欠电压,检测到欠电压,同上
265,电网L2欠电压,检测到欠电压,同上
266,电网L3欠电压,检测到欠电压,同上
267,电网电压不平衡,电网电压不平衡,"1.检查电网电压是否正常。
2.检查F300.5滤波保险及滤波回路器件是否正常。"
268,电网频率错误,电网频率错误,"1.检查电网相序是否反向。
2.检查电网实际频率是否正确。"
272,直流母线欠电压/测试变频器到网侧时报出,变频器直流母线欠电压,1.检查350A保险是否正常，可能存在损坏但未完全损坏、且辅助触点正常的情况，更换350A保险。
277,加载变频器到预充电过程和Crowbar测试过程中均报con277，实测电压正常，过程中预充电接触器并没有吸合。预充电接触器有时不吸合。,线路虚接；更换变频器时，变频器到Crowbar之间的光纤接错顺序。万用表测量Crowbar的S口电压只有9V左右,"1.检查crowbar回路，发现K258.7接地端子排虚接，处理后并网发电；
2.更正光纤顺序后并网发电。
3.更换Crowbar，故障消除。"
278,测试变频器时报此故障Line contactor state error - PLC ErrWor2；；PLC状态在S4-S5间跳变；手动吸合K247.5时300柜内F150.2跳闸，320柜右侧有异响Q312.3打火。,K247.5继电器损坏；NCC310柜内电源损坏;给网侧接触器供电的24V线虚接；给Q312.3的3号线供230V时，F50.2就跳闸,"1.更换继电器；
2.更换电源；
3.紧固线路；
4.更换Q312.3的灰色外壳部分后OK"
288,系统任务溢出错误,软件或硬件故障,"1.变频器断电，直流母线放电。
2.重新下载变频器程序。
3.更换变频器。"
289,系统5ms任务丢失错误,软件或硬件故障,同上
291,系统数据传输错误,程序更新时产生,同上
299,LSA系统通讯错误,LSC通讯错误,"1.变频器断电，直流母线放电。
2.重新下载LSC变频器程序。
3.更换LSC变频器。"
300,GSA系统通讯错误,GSC通讯错误,"1.变频器断电，直流母线放电。
2.重新下载GSC变频器程序。
3.更换GSC变频器。"
306,"Crowbar触发/
运行中频繁报此故障；变频器测试到机侧报此故障；测试Crowbar时报此故障",变频器没有发出Crowbar触发信号，但是接收到Crowbar触发反馈信号,"正常是Crowbar测试时与ConErrSto238同时报，若不是，检查：
1.更换为早期的灰色光纤（特别注意：光纤不能有明显的褶皱痕迹，如扎带绑扎痕迹等。国产的橙色光纤质量不好）；
2.Crowbar电阻与铁板距离不够，造成放电调整NCC320柜内放电。调整电阻上的接线铜片位置为水平方向,使其与盖板之间的距离变大；
3.管状电阻阻值不对，更换管状电阻；
4.接地碳刷接触不良，处理好接地碳刷；
5.Crowbar工作不稳定，更换Crowbar；
6.Crowbar单元二极管损坏（万用表测量导通），更换Crowbar单元二极管"
129/288/289,,"PM3000变频器can-bus线图纸和实际接线有出入，一般绿色线接-V308.2-J7的1#口，棕色线接-V308.2-J7的2#口，白色线接-V308.2-J7的4#口。
如果绿色和棕色接错做变频器测试报
",更正接线
448,低穿改造完毕后，运行过程中报此故障,直流母排电压过高，导致Crowbar触发,检查定子断路器器是否脱开延时或吸合不良。
451,Crowbar触发,直流母排电压过高，导致Crowbar触发,"1.检查直流母线电压是否波动；
2.检查三相电网电流是否平衡；
3.检查并网开关是否正常；
4.检查Crowbar电阻是否正常。"
,,,
38,预充电电阻烧毁；Crowbar测试不过，预充电接触器不吸合,电气元件损坏（PM1000变频器）；预充电电阻烧坏,"1.检查预充电电阻。
2.如果测量充电回路电流值与额定电流3A差别很大，检查变频器直流母排绝缘是否有问题。"
69 23 52     42 243 60,加载到LSC时，consta只能到S5状态,LSC损坏,更换LSC
100,发电机转速正常，在有转速的情况下，启动变频器，故障产生；一直无转速显示,电气元件损坏（PM1000变频器）；变频器测速板与内部电路板间通讯插头松动；,"1.未启动变频器时，转速正常，检查机侧变频器外部测量板。
2.检查变频器；
3.紧固编码器通讯插头"
101,启动变频器至LSC即报，直流母排电压上升到1100多伏；/手动测试到LSC启动大约1秒就报，且变频柜内发出一声巨响，机侧变频器附近发出一道闪光,读写参数未过，写完读不了，变频器状态显示S9；机侧变频器直流母排绝缘低,1.技改前重新写读变频器参数直至OK状态，                   2.若变频器显示S9，测试网侧能启动，更换机侧变频器。                                               3.更换机侧变频器 
102,网侧接触器状态错误,,"1.检查网侧接触器反馈。
2.检查350A保险。
"
103,读写完变频器参数报此故障,读写变频器参数引起,复位即可
104,叶片顺桨，风机停机,直流母排电压高于1200VDC,"1.若风机是并网瞬间报故障，可能励磁电流设置不合适，永济、天元的MagCurSet为1000，即100A，佳木斯为1092，通常可在1000到1400之前调节。
2.若在运行中报故障，可能是电网波动。
3.网侧变频器可以合上，但合机侧时就报conerr104，检查crowbar放电电阻，可能电阻损坏或对地接通。                                                              "
105,690VAC电网电压缺相或相序不对,熔丝烧断/电气元件损坏（PM1000变频器）,"1.检查-F104.3的熔丝，是否熔断。
2.如变频器网压测量板处电压正常，控制面板显示值不正常，则为变频器电压测量板问题。
3.如果电压幅值正常，检查相序是否有问题。
4.如果启动变频器至LSC时Crowbar放电电阻炸毁，可能是由于定子接触器电路控制板烧损导致定子接触器提前吸合，烧坏保险。
5.如果雷雨天气导致8A保险烧坏，建议将8A保险更换为16A。"
106,面板显示电网电压正常，但故障无法复位,plc与变频器之间读写参数问题,1.PM3000技改前重新读写参数直至ok或断电再读写参数至ok
111,预充电接触器不吸和,光纤接错，线路虚接,"1.检查发电机变频器上所有光纤的连接
2.如果光纤接对，crowbar指示灯始终亮，更换crowbar。
3.检查crowbar单元接线是否松动。"
112,风机无法运行变频器至电机侧,电气元件损坏（PM1000变频器电机侧）,"1.检查电机侧变频器J8插头2号端子到K150.1接触器的线路连接，以及K150.1接触器反馈线路。
2.断开电机侧J8插头，运行变频器，仍无法启动电机侧变频器，变频器损坏。                                            "
119,风机故障停机；启动变频器之lsc就报，而且到lsc后电网电压就不平衡；并网后三相电流不平衡（20A，70A，70A），功率上升到100KW左右就报；电压/电流不平衡故障，并网2～3s就报故障。,电网电能质量问题；业主相变问题；网测接触器B相导通电阻为1.8兆欧，往里压时电阻能降到0.2欧，拆下发现B相触点底座烧坏，无法接触上。,"1.通常是由于电网波动、电压不平衡等引起。
2.检查滤波回路保险F300.5是否正常。
3.检查实际电流是否也不平衡，若不平衡，首先检查定子接触器是否正常，若正常，在箱变侧更换箱变—机组的3相690VAC电缆接线顺序（将原先A-L1、B-L2、C-L3的顺序变更为A-L2、B-L3、C-L1的顺序），如果异常电流变成另一相，则问题出在箱变那边。如：相变高压侧35kv 跌落保险接触不良。
4.检查网侧接触器导通是否正常。"
120、135,频烧350A保险、lsc IGBT频繁击穿/运行中频报,经过碳刷后，发电机转子电阻不平衡，每次重新清理碳刷后电阻正常/发电机编码器固定松动,"1.压指弹力不均，导致转子电阻不平衡（昌图18#机组，永济发电机） 
2.紧固发电机编码器"
122,网侧变频器无法启动；网侧350A熔烧坏,电气元件损坏（PM1000变频器）,1.更换变频器
123,电机侧变频器无法启动；GSC IGBT击穿,电气元件损坏（PM1000变频器）,1.更换机侧变频器
125,控制面板converter菜单下，GscCur的值为350或700A,电气元件损坏（PM1000变频器）,1.更换变频器。
128,变频器左下角电路板指示灯虚亮,电气元件损坏（PM1000变频器）,1.更换变频器
132～134,"Line L1/2/3 failure启动到网侧变频器就报，网侧L1相电流产生瞬时脉冲后下降，而另两相电流能平稳上升/网侧变频器无法启动,有一相电流很低或另两项很高和网侧时大约20A左右,可能会报CONERR119/104",网侧滤波电容C302.7.2烧坏/电流互感器线掉/网侧变频器坏/350A保险烧坏但没有报29,"1.检查网侧电抗滤波电容
2.检查回路线路是否正常。
3.检查网侧接触器上端的电压是否正确/检查350A保险是否烧坏。
4.更坏网侧变频器"
135,印度现场测试变频器到网侧时，报网侧过流；频繁烧690V/350A保险；法库现场运行3年的机组，启动变频器到S3时，直流母排电压下降到557V;/运行中频繁报网侧变频器过流,网侧电抗问题；发电机碳刷压指问题，压指压力不均，导致接入系统的发电机三相转子绕组的电阻不平衡;/发电机编码器连接轴固定不好,"1.更换网侧电抗；
2.发电机碳刷更换发电机碳刷压指。
3.紧固发电机编码器连接轴                       "
136,电机侧变频器过流，故障停机,发电机损坏；发电机碳刷磨损严重,"方案1：检查发电机碳刷、滑环，碳粉是否堆积，相是否对地
方案2：启动制动器，在转子静止的情况下，启动变频到电机侧同步，如果可以顺利通过，则变频器正常。转子转动时启动到电机侧同步，如果报故障，则短路点在发电机                                    结论：更换发电机后，故障消除"
138,并网后不显示功率 /运行中频报此故障,电流互感器到变频器之间线路接错/PLC与变频器之间CAN通讯问题,"1.PM3000机组的图纸中，300柜内电流互感器到变频器J26口接线错误，应该为1-cur-trans-a1接-V308.2-J26的2#口、1-cur-trans-b1接-V308.2-J26的1#口，2-cur-trans-a接-V308.2-J26的4#口、2-cur-trans-b接-V308.2-J26的3#口，3-cur-trans-a1接-V308.2-J26的6#口、3-cur-trans-b1接-V308.2-J26的5#口。

2.ABB机组重传主PLC的CAN—OPEN配置协议"
165,无法复位,电气元件损坏（PM1000变频器），变频器内部开关器件损坏，损坏原因为外部J8反馈线路引入电流                                    ,1.更换网侧变频器，将外部反馈线及触点全部更换。
