故障代码,故障信息,故障原因,解决方案,故障类型
11,SS-10桨叶超出工作位置,PLC主站A240.3:18收不到反馈信号,"1.检查PLC检测Err18故障的端口（working position）-浪涌-滑环-轮毂柜-限位开关-滑环-F238.2之间相关线路及器件是否有问题。
2.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动,否则容易导致高转速下频报故障）。
3.检查程序中变桨减速机的减速比是否选择正确。
4.检查叶片限位开关是否安装/调节正确，正常是变桨到-4度左右才触发限位开关。",安全链
12,SS-11轮毂驱动,PLC主站A240.3-E63.08收不到反馈信号,"1.安全链回路监测Err19故障的PLC端口—浪涌F238.2-滑环-轮毂柜之间的相关线路是否断开或松动。
2.检查轮毂柜内接触器K21.3、 K31.3、 K41.3是否吸合，如未吸合检查线圈供电的230V-L、N回路线路是否正常。 
3.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动，否则容易导致高转速下频报故障）。                             ",安全链
13,SS-12存储继电器未复位,PLC主站A240.3-E63.09收不到反馈信号,"1.如果复位其他故障时产生，只需复位或间隔3-5s左右再复位即可。
2.如果单报此故障，检查24V继电器K246.2、K246.3是否正常，大多数情况只是线圈部分损坏，此时可单独换线圈，无需更换底座。
3.检查K246.2、K246.3至主PLC的E63.09端口线路是否正常。",安全链
14,备用,备用,,安全链
15,备用,备用,,安全链
16,叶片1在安全链运行状态或停止状态超时,当叶片1在安全链运行状态或停止状态超过40s时，故障代码产生,"1.检查是否卡桨，如是扭矩高导致卡桨，加注润滑油，若不是可以更新程序。
2.lenze系统报此故障可能电机刹车扭矩不够导致划桨产生，可以更新程序，如不管用，建议更换电机。
3.如果卡桨不能动弹，建议拆下变桨电机，手动盘变桨轴，看是否是减速机问题。",轮毂
17,叶片1在参考位置状态超时,当叶片1在参考位置状态超过60s时，故障代码产生,"1.根据《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf方案》升级优化变桨参数。
2.更新PLC程序。
3.如果叶片卡死，手动变桨脱离卡死位置。                                    4.加注变桨润滑油。
5.拆下变桨电机，手动盘变桨轴。",轮毂
18,叶片1状态与安全链状态不一致,当安全链断开而叶片1未处于安全链运行状态，或安全链恢复而叶片1仍处于安全链运行状态时，故障代码产生,"1.检查安全链回路浪涌保护器。
2.检查安全链回路继电器。
3.检查安全链回路线路连接，PLC 故障检测端口（storage relay）-浪涌-滑环-轮毂柜-滑环-浪涌回路线路及器件是否正常。
4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。",轮毂
19,叶片2在安全链运行状态或停止状态超时,当叶片2在安全链运行状态或停止状态超过40s时，故障代码产生,"1.检查是否卡桨，如是扭矩高导致卡桨，加注润滑油，若不是可以更新程序。
2.lenze系统报此故障可能电机刹车扭矩不够导致划桨产生，可以更新程序，如不管用，建议更换电机。
3.如果卡桨不能动弹，建议拆下变桨电机，手动盘变桨轴，看是否是减速机问题。",轮毂
20,叶片2参考位置状态超时,当叶片2在参考位置状态超过60s时，故障代码产生,"1.根据《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf方案》升级优化变桨参数。
2.更新PLC程序。
3.如果叶片卡死，手动变桨脱离卡死位置。                                    4.加注变桨润滑油。
5.拆下变桨电机，手动盘变桨轴。",轮毂
21,叶片2状态与安全链状态不一致,当安全链断开而叶片2未处于安全链运行状态，或安全链恢复而叶片2仍处于安全链运行状态时，故障代码产生,"1.检查安全链回路浪涌保护器。
2.检查安全链回路继电器。
3.检查安全链回路线路连接，PLC 故障检测端口（storage relay）-浪涌-滑环-轮毂柜-滑环-浪涌回路线路及器件是否正常。
4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。",轮毂
22,叶片3在安全链运行状态或停止状态超时,当叶片3在安全链运行状态或停止状态超过40s时，故障代码产生,"1.检查是否卡桨，如是扭矩高导致卡桨，加注润滑油，若不是可以更新程序。
2.lenze系统报此故障可能电机刹车扭矩不够导致划桨产生，可以更新程序，如不管用，建议更换电机。
3.如果卡桨不能动弹，建议拆下变桨电机，手动盘变桨轴，看是否是减速机问题。",轮毂
23,叶片3参考位置状态超时,当叶片3在参考位置状态超过60s时，故障代码产生,"1.根据《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf方案》升级优化变桨参数。
2.更新PLC程序。
3.如果叶片卡死，手动变桨脱离卡死位置。                                    4.加注变桨润滑油。
5.拆下变桨电机，手动盘变桨轴。",轮毂
24,叶片3状态与安全链状态不一致,当安全链断开而叶片3未处于安全链运行状态，或安全链恢复而叶片3仍处于安全链运行状态时，故障代码产生,"1.检查安全链回路浪涌保护器。
2.检查安全链回路继电器。
3.检查安全链回路线路连接，PLC 故障检测端口（storage relay）-浪涌-滑环-轮毂柜-滑环-浪涌回路线路及器件是否正常。
4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。",轮毂
25,叶片1连接上手操盒,当叶片1连接上手操盒时，故障代码产生,1.检查变桨1/2/3手动操作盒是否连接到变桨控制柜。,轮毂
26,叶片1处于故障状态,当叶片1处于故障状态时，故障代码产生,"1.检查核对变桨子故障。
2.如果三个故障同时报，检查滑环是否有问题。
3.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。",轮毂
27,叶片2连接上手操盒,当叶片2连接上手操盒时，故障代码产生,1.检查变桨1/2/3手动操作盒是否连接到变桨控制柜。,轮毂
28,叶片2处于故障状态,当叶片2处于故障状态时，故障代码产生,"1.检查核对变桨子故障。
2.如果三个故障同时报，检查滑环是否有问题。
3.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。",轮毂
29,叶片3连接上手操盒,当叶片3连接上手操盒时，故障代码产生,1.检查变桨1/2/3手动操作盒是否连接到变桨控制柜。,轮毂
30,叶片3处于故障状态,当叶片3处于故障状态时，故障代码产生,"1.检查核对变桨子故障。
2.如果三个故障同时报，检查滑环是否有问题。
3.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。",轮毂
31,叶片1位置偏差过大,当叶片1在位置控制状态，实际位置与给定位置偏差超过2°时，故障代码产生,"1.检查变桨轴承是否正常。
2.检查变桨变频器到变桨电机的电源线及连接。
3.检查变桨变频器到变桨电机的编码器线线及连接。",轮毂
32,叶片2位置偏差过大,当叶片2在位置控制状态，实际位置与给定位置偏差超过2°时，故障代码产生,"1.检查变桨轴承是否正常。
2.检查变桨变频器到变桨电机的电源线及连接。
3.检查变桨变频器到变桨电机的编码器线线及连接。",轮毂
33,叶片3位置偏差过大,当叶片3在位置控制状态，实际位置与给定位置偏差超过2°时，故障代码产生,"1.检查变桨轴承是否正常。
2.检查变桨变频器到变桨电机的电源线及连接。
3.检查变桨变频器到变桨电机的编码器线线及连接。",轮毂
34,3个叶片位置长时不同步,当3个叶片位置偏差最大值超过1度持续1s时，故障代码产生,"1.更新PLC程序。
2.进行静态测试，反复手动变桨，通过控制面板观察三个叶片的变化角度，各个叶片的角度差是否大于1度。若是，可能滑环损坏。                                                           ",轮毂
35,3个叶片位置短时不同步,当3个叶片位置偏差最大值超过1度持续0.5s时，故障代码产生,"1.更新PLC程序。
2.进行静态测试，反复手动变桨，通过控制面板观察三个叶片的变化角度，各个叶片的角度差是否大于1度。若是，可能滑环损坏。",轮毂
36,3个叶片变桨速度未设定为最大值,当3个叶片在位置控制状态，位置小于65°，而变桨速度未达到最大值9°/s时，故障代码产生,"1.检查变桨轴承。
2.检查变桨减速机。",轮毂
37,两个超速保护继电器测量值相差过大,当两个超速保护继电器测量的转速差异大于100rpm时，故障代码产生,"1.检查TRUCK超速继电器及其调节值是否正常。
2.检查滑环编码器信号反馈是否正常。                                                ",轮毂
38,超速保护继电器1电流信号过小,当超速保护继电器1电流信号过小时，认为测速回路开路，故障代码产生,"1.检查B234.4 turck继电器到PLC的线路。
2.检查B234.4 turck供电电源。
3.更换B234.4 turck继电器",轮毂
39,超速保护继电器2电流信号过小,当超速保护继电器2电流信号过小时，认为测速回路开路，故障代码产生,"1.检查B234.6 turck继电器到PLC的线路。
2.检查B234.6 turck供电电源。
3.更换B234.6 turck继电器",轮毂
40,变桨制动器保险熔断,当230V变桨制动器保险丝熔断时，副PLC的检测口E62.10为False，产生故障代码,"1.检查变桨电机刹车空开是否跳开，信号反馈是否正常。
2.检查变桨电机制动线路回路，电缆是否固定好，是否甩断接地或短路。
3.检查变桨柜内接触器-K21.3、-K31.3、-K41.3线圈阻值是否正常。",轮毂
41,三相整流桥交流侧接触器工作状态无反馈,当三相整流桥交流侧接触器断开时，副PLC检测口E63.08为False，故障代码产生,"1.检查变桨电机刹车空开是否跳开，信号反馈是否正常。
2.检查变桨电机制动线路回路，电缆是否固定好，是否甩断接地或短路。
3.检查变桨柜内接触器-K21.3、-K31.3、-K41.3线圈阻值是否正常。",轮毂
42,叶片1实际参考位置值与设定值偏差过大,当叶片1实际参考位置值与设定值偏差超过0.1°时，故障代码产生,"1.加变桨油脂。
2.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。
3.检查变桨轴承。",轮毂
43,叶片2实际参考位置值与设定值偏差过大,当叶片2实际参考位置值与设定值偏差超过0.1°时，故障代码产生,"1.加变桨油脂。
2.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。
3.检查变桨轴承。",轮毂
44,叶片3实际参考位置值与设定值偏差过大,当叶片3实际参考位置值与设定值偏差超过0.1°时，故障代码产生,"1.加变桨油脂。
2.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。
3.检查变桨轴承。",轮毂
45,叶片1处于停止完毕状态但接近开关未触发,当叶片1处于停止完毕状态，但接近开关未触发时，故障代码产生,"1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。
2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。
3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                         ",轮毂
46,叶片2处于停止完毕状态但接近开关未触发,当叶片2处于停止完毕状态，但接近开关未触发时，故障代码产生,"1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。
2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。
3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                         ",轮毂
47,叶片3处于停止完毕状态但接近开关未触发,当叶片3处于停止完毕状态，但接近开关未触发时，故障代码产生,"1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。
2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。
3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                         ",轮毂
48,叶片1处于安全链恢复完毕状态但接近开关未触发,当叶片1处于安全链恢复完毕状态，但接近开关未触发时，故障代码产生,"1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。
2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。
3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                             ",轮毂
49,叶片2处于安全链恢复完毕状态但接近开关未触发,当叶片2处于安全链恢复完毕状态，但接近开关未触发时，故障代码产生,"1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。
2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。
3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                             ",轮毂
50,叶片3处于安全链恢复完毕状态但接近开关未触发,当叶片3处于安全链恢复完毕状态，但接近开关未触发时，故障代码产生,"1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。
2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。
3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                             ",轮毂
51,变桨变频器1内部温度过高,当变桨变频器1内部温度过高时，故障代码产生,"1.检查变桨变频器风扇。
2.检查变桨变频器。",轮毂
52,变桨变频器2内部温度过高,当变桨变频器2内部温度过高时，故障代码产生,"1.检查变桨变频器风扇。
2.检查变桨变频器。",轮毂
53,变桨变频器3内部温度过高,当变桨变频器3内部温度过高时，故障代码产生,"1.检查变桨变频器风扇。
2.检查变桨变频器。",轮毂
54,备用,备用,,
55,备用,备用,,
56,备用,备用,,
57,备用,备用,,
58,备用,备用,,
59,备用,备用,,
60,备用,备用,,
61,备用,备用,,
62,备用,备用,,
63,备用,备用,,
64,刹车片磨损过大,当刹车片磨损大于2mm时，主PLC检测口E62.06为Fasle，故障代码产生,"1.检查S222.6（安装在制动器中间位置的传感器）刹车报警传感器线路。
2.检查S222.6传感器固定是否松动。
3.检查刹车片是否磨损到需要更换。
+H107",刹车
65,刹车泵开启但液压不足,当自动模式下，刹车泵断路器闭合而且刹车泵接触器吸合，刹车泵开启时，刹车泵液压开关仍断开，主PLC检测口E62.07为Fasle，故障代码产生,"1.检查制动器液压油位、压力传感器供电及反馈信号
2.将+NCC310柜门上开关打到手动，手动反复启动制动器，同时测量制动器反馈24VDC信号，制动器打开时，应有反馈24VDC信号。
3.检查制动器压力开关反馈信号接线，通常为棕色线brown: +TB300-X222.3:3 / 蓝色线blue: +TB300-X222.3:2 / 黑色线black: +TB300-X222.3:4。有时候反馈线的延时不是黑色，可能是白色。
4.如果雷雨天气导致，可能是压力开关受雷击损坏，建议更换并及时做好防雷技改和零地分离技改。
5.更换防雷能力强的制动器压力传感器。",刹车
66,刹车泵断路器工作状态无反馈,当刹车泵断路器断开或IO口保护熔断器熔断时，数字输入模块检测口E10.06为False，故障代码产生,"1.检查制动泵电机空开是否跳闸，如果跳闸，检查空开下端是否存在接地点（如：接触器损坏、线路接地、短路、制动泵电机损坏等）。
2.检查制动泵电机保护空开反馈IBraPumFus是否正常，线路是否松动。",刹车
67,刹车泵自动调节不足,当刹车自动调节不足时，主PLC检测口E62.04为False，故障代码产生,"1.检查PLC A240.3-E62.04 (IBraAdj)端口是否有24Vdc信号反馈。
2.检查制动器位置传感器S222.7至A240.3-E62.04 (IBraAdj)端口线路是否松动。
3.检查制动器位置传感器S222.7是否松动。
4.检查S222.6与S222.7是否接反。
5.检查刹车间隙是否满足要求。",刹车
68,刹车泵开启但刹车未释放,当自动模式下，刹车泵断路器闭合而且刹车泵接触器吸合，刹车泵开启时，刹车仍未释放，主PLC检测口E62.03为Fasle，故障代码产生,"1.检查S222.7传感器至PLC模块间线路是否松动。
2.检查S222.7传感器是否正常。
3.检查制动器间隙是否正常。",刹车
69,自动/手动开关未设定为自动模式,当PLC不在停止和服务状态，自动/手动开关未设定在自动模式时，副PLC检测口E62.14为Fasle，故障代码产生,"1.检查NCC310柜门自动/手动 钥匙是否在手动位置，自动运行时需要转到自动位置。
2.检查NCC310柜门自动/手动 钥匙是否工作正常。",刹车
70,刹车泵工作时间过长,当刹车泵工作时间过长时，故障代码产生,"1.检查制动器电池阀Y222.4供电是否正常。
2.检查制动器电池阀Y222.4接线是否松动。
3.检查制动器电池阀Y222.4是否损坏。",刹车
71,刹车泵控制信号与反馈信号不一致,当PLC不在停止和故障状态，自动模式下主PLC输出口A62.04的刹车泵控制信号与数字输入模块检测口E11.04的反馈信号不一致时，故障代码产生,"1.检查刹车泵接触器反馈回路是否有问题。
2.检查刹车泵接触器控制回路是否有问题。
3.检查刹车泵接触器是否正常。",刹车
72,变频器水泵控制信号与反馈信号不一致,当PLC不在停止和故障状态，主PLC输出口A62.12的变频器水泵控制信号与数字输入模块检测口E11.05的反馈信号不一致时，故障代码产生,"1.检查水泵断路器是否断开；
2.检查水泵断路器反馈回路是否正常。",刹车
73,备用,备用,,
74,备用,备用,,
75,备用,备用,,
76,备用,备用,,
77,备用,备用,,
78,备用,备用,,
79,备用,备用,,
80,功率变频器检测到故障,变频器检测到故障，具体原因参考变频器子故障,"1.检查变频器子故障，按照子故障做对应检查处理。
2.如果LSC启动时报此故障，且发出剧烈响声，伴随Crowbar管状电阻烧坏，需要检查定子接触器是否只给230VAC就吸合，正常是等同步合格后，给出24VDC控制信号，定子接触器才吸合（特别是更换定子接触器24V控制电路板后，注意拨码开关拨到需要拨到右边PLC控制侧）。
3.更换网侧接触器时，注意型号为230V的线圈。
4.检查网侧接触器吸合及反馈是否正常。
5.如果与Err167等同时报出，检查水冷滤波电阻及350A保险是否正常，如需更换水冷滤波板或滤波电阻，务必要均匀涂上导热硅胶，且固定螺丝必须拧紧，最好选用长度及螺纹一致的内六角螺丝固定。
6.如果并网后不久变频器状态跳到S60,之后又跳到同步检测状态，然后报Err202或Err80故障，检查发电机编码器及固定接线是否正常，此类情况，无法从SCADA监控软件或50ms Trace数据分辨异常转速。
7.如果与Err278同时报出，检查变频器是否正常。
8.如果测试变频器时烧滤波电阻，检查网侧电抗是否正常。",变流器
81,功率变频器检测到电网异常,变频器检测到电网过压、欠压、频率过高、频率过低或电压不平衡。,"1.查看变频器菜单中的子故障，判断具体原因。
2.查询风机监控软件记录的波形数据，检查故障时刻电网是否波动（如电压突变、频率突变或三相不平衡的情况）。如波动后又恢复正常，经业主同意后可直接复位启机并网；如波动后不能恢复正常，询问业主电网是否存在未解决的问题。
3.如果电网实际电压正常，但风机显示的电网电压异常，检查变频器测量电网电压回路的线路及器件是否松动或异常（如：网侧8A/16A保险是否损坏）。",变流器
82,功率测量错误,实测功率与变频器理论功率偏差过大；电流互感器接线错误。,"1.检查三相电网电流是否平衡。
2.检查显示的三相电网电流与实际值是否相符（钳流表测得单根150电缆上的电流为面板显示电网相电流的1/5左右）。
3.检查电流互感器至变频器之间的接线是否有问题、顺序是否正确,NCC300柜内电流互感器到变频器的接线为S1（1-cur-trans-b）接T170.6的K端口、S2（1-cur-trans-a）接-V308.2-J2的1#口；S1（2-cur-trans-b）接T170.6的K端口、S2（2-cur-trans-a）接T170.6的L端口；S1（3-cur-trans-b）接T170.6的K端口、S2（3-cur-trans-a）接-V308.2-J2的3#口。V308.2-J2的2#口和4#口接T170.6的L端口。V308.2-J2端子对应国通变频器位置为机侧变频器的P15端子，其中J2:1对应A+，J2:2对应A-，J2:3对应C+，J2:4对应C-。以上问题在PM3000S改国通时需特别注意。
4.如果功率时正时负波动大，检查发电机编码器及固定是否有问题。
5.超导变频器机组检查网侧变频器电流检测板，国通变频器机组检查机侧变频器电流检测板。
6.超导变频器机组更换网侧变频器，国通变频器机组更换机侧变频器。",变流器
83,有功功率10s滤波值过高,当变频器测得有功功率10s滤波功率值大于设定值时，产生故障代码,"1.更新PLC程序。
2.PM1000变频器及PM3000变频器未低穿技改机组，重新写读变频器参数。
3.更换变频器或变频器控制板。",变流器
84,有功功率1min滤波值过高,当变频器测得有功功率1min滤波值大于设定值时，产生故障代码,"1.更新PLC程序。
2.PM1000变频器及PM3000变频器未低穿技改机组，重新写读变频器参数。
3.更换变频器或变频器控制板。",变流器
85,有功功率10min滤波值过高,当变频器测得有功功率10min滤波值大于设定值时，产生故障代码,"1.更新PLC程序。
2.PM1000变频器及PM3000变频器未低穿技改机组，重新写读变频器参数。
3.更换变频器或变频器控制板。",变流器
86,总电流1min滤波值过高,当变频器测得总电流1min滤波值大于设定值时，产生故障代码,"1.更新PLC程序。
2.PM1000变频器及PM3000变频器未低穿技改机组，重新写读变频器参数。
3.更换变频器或变频器控制板。",变流器
87,定子电流1min滤波值过高,当变频器测得定子电流1min滤波值大于设定值时，产生故障代码,"1.更新PLC程序。
2.PM1000变频器及PM3000变频器未低穿技改机组，重新写读变频器参数。
3.更换变频器或变频器控制板。",变流器
88,定子断路器分断超时,当定子断路器分断超时时，产生故障代码,"1.检查定子断路器是否确实断开超时。
2.检查定子断路器分闸信号线路及继电器是否存在问题。",变流器
89,TBC110断路器分断超时,当TBC110断路器分断超时时，产生故障代码,"1.检查TBC110断路器是否确实断开超时。
2.检查TBC110断路器分闸信号线路是否存在问题。",变流器
90,TBC110断路器输入与输出不一致,当TBC110断路器输入与输出不一致时，产生故障代码,1.检查TBC110断路器是否在系统未输出断开信号时异常断开或输出断开信号后未断开。,变流器
91,箱变断路器分断超时,当箱变断路器分断超时时，产生故障代码,"1.检查箱变断路器是否确实断开超时。
2.检查箱变断路器分闸信号线路是否存在问题。",变流器
92,箱变断路器输入与输出不一致,当箱变断路器输入与输出不一致时。产生故障代码,1.检查箱变断路器是否在系统未输出断开信号时异常断开或输出断开信号后未断开。,变流器
93,备用,备用,,
94,备用,备用,,
95,备用,备用,,
96,驱动侧加速度传感器AC分量超限,当驱动侧加速度传感器测量的AC分量超限时，故障代码产生,"1.检查驱动侧振动传感器5V电源是否正常。
2.检查驱动侧振动传感器外接线路及浪涌是否正常。
3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。
4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。
5.更换驱动侧振动传感器。
6.更新PLC程序。",振动
97,非驱动侧加速度传感器AC分量超限,当非驱动侧加速度传感器测量的AC分量超限时，故障代码产生,"1.检查非驱动侧振动传感器5V电源是否正常。
2.检查非驱动侧振动传感器外接线路及浪涌是否正常。
3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。
4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。
5.更换非驱动侧振动传感器。
6.更新PLC程序。",振动
98,驱动链摆动,当驱动链摆动超限时，故障代码产生,"1.检查发电机转速信号是否波动。
2.检查发电机编码器固定及外接线路是否正常。
3.检查发电机编码器在外接线缆断开时，外壳对地是否绝缘。",振动
99,塔筒驱动侧摆动偏移量超限,当塔筒驱动侧摆动超限时，故障代码产生,"1.检查驱动侧振动传感器5V电源是否正常。
2.检查驱动侧振动传感器外接线路及浪涌是否正常。
3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。
4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。
5.更换驱动侧振动传感器。
6.更新PLC程序。",振动
100,塔筒非驱动侧摆动偏移量超限,当塔筒非驱动侧摆动超限时，故障代码产生,"1.检查非驱动侧振动传感器5V电源是否正常。
2.检查非驱动侧振动传感器外接线路及浪涌是否正常。
3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。
4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。
5.更换非驱动侧振动传感器。
6.更新PLC程序。",振动
101,驱动侧加速度传感器DC分量超限,当驱动侧加速度传感器测量的DC分量超限时，故障代码产生,"1.检查驱动侧振动传感器5V电源是否正常。
2.检查驱动侧振动传感器外接线路及浪涌是否正常。
3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。
4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。
5.更换驱动侧振动传感器。
6.更新PLC程序。",振动
102,非驱动侧加速度传感器DC分量超限,当非驱动侧加速度传感器测量的DC分量超限时，故障代码产生,"1.检查非驱动侧振动传感器5V电源是否正常。
2.检查非驱动侧振动传感器外接线路及浪涌是否正常。
3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。
4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。
5.更换非驱动侧振动传感器。
6.更新PLC程序。",振动
