ABB机组变桨故障代码,bachmann机组变桨故障代码,故障现象,故障原因,解决方案
42030,20030,电机保护故障 ,电机保护继电器动作,"1.将变桨变频器内部参数Dr50从原先的150%改到300%。                                 2.打变桨油脂 。
3.对于惠腾叶片，更改PLC程序控制逻辑。
4.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》修改Pn65等参数。"
42032,20032,解码器故障,解码器故障或电缆连接故障,"1.检查变桨电机与变桨变频器之间编码器线缆的连接。
2.检查变桨电机编码器。
3.检查变桨变频器接收变桨电机编码器信号是否正常。
4.可以与另外一个桨叶编码器至变频器的线缆互换，如果故障转移到另一叶片，则说明该线缆有问题；反之可能是变桨变频器或变桨电机编码器出问题。"
42036,20036,电源模块不过热 ,,"1.检查叶片轴承及减速机。
2.检查变桨电机制动电阻。
3.用变桨控制盒变桨，是否能够变动。
4.检查接近开关是否良好。
5.更换变桨变频器。"
42049,20049,电源代码故障,"初始化时,不能识别电源回路或认为无效","1.断电重启。
2.更换变桨变频器。"
42050,20050,电源更换,软件问题,"1.断电重启。
2.更换变桨变频器。"
42051,20051,驱动继电器故障,,"1.断电重启。
2.更换变桨变频器。"
42052,20052,解码器接口故障,,"1.检查解码器线路及接头。
2.更换解码器。
3.更换变桨变频器。"
42053,20053,PNP/NPN开关故障或输入错误,,"1.断电重启。
2.更换变桨变频器。"
42054,20054,解码器溢出故障 ,,现场不会产生此故障。
42057,20057,MFC初始化故障,,"1.断电重启。
2.更换变桨变频器。"
42058,20058,超速 (变桨电机转速太快 (> 2500rpm)),,"1.断电重启。
2.更换变桨变频器。"
42059,20059,解码器接口故障 (解码器接口标识被更改),,"1.检查解码器线路及接头。
2.更换解码器。
3.更换变桨变频器。"
45001,30001,"限位开关 (感应器) 故障: 叶片角度< 77.5度,开关被触发",电气元件损坏（接近开关）,1.检查接近开关线路及轮毂内部卫生。                         2.检查柜内、外接线是否紧固。                                                        
45002,30002,"叶片角度 >基准角度- 1.0度,开关未触发",接近开关反馈出错,"1.将变桨变频器参数SwiOffTor调为4000-4500。
2.更新变桨变频器程序。 
3.接近开关感应片与传感器间距离太远，调整接近开关感应片位置。
4.如果桨叶扭矩很大，检查轴承，必要的话加注润滑油。 
5.如果三叶片角度都显示0度，可能是传从PLC的CAN-Open协议出错（重传CAN-Open协议（传时只能单独打开一个配置文件）。
6.更换其他版本程序中的CAN—Open配置文件；
"
46001,30003,叶片角度小于 -8.0度,,"1.手动控制盒变桨。
2.更滑变频器。"
46002,30004,叶片角度比参考值大 5.0度,,"1.手动控制盒变桨。
2.更滑变频器。"
50000,,CAN SDO 未知错误,软件问题,"1.重启PLC。
2.更新PLC软件。"
56000,,CAN SDO 错误,软件问题,"1.重启PLC。
2.更新PLC软件。"
59233,,频报，重启plc或断电能复位 ,电气元件问题,"1.检查变桨通讯板连接
2.变桨通讯板可能工作不稳定。"
60004,65535,变桨变频器CAN通讯中断,变桨变频器与PLC之间通讯中断,"1.检查偏航及三个变桨变频器通讯开关是否设置为yaw(off),Pitch1(off),Pitch2(off),Pitch3(on)。  
2.检查变桨通讯线Can-H和L之间终端电阻是否正常（正常为两个120欧并联，即：60欧）。
3.检查PLC从站到各个变桨变频器的通讯线路，如滑环工作是否正常。 
4.如果偏航也没通讯，检查从站PLC至偏航通讯板线路连接是否正确，从站PLC的CAN-open配置是否正确。
5、变桨变频器所有指示灯都不闪烁，且直流输入口没有560VDC，检查斩波器是否正常。
6.如果启动功率变频器就报，检查发电机接地碳刷接触是否正常，是否导致变频器启动后产生电磁干扰。
7.检查变桨变频器通讯板是否有问题，如果故障需要断电或重启PLC才能复位，可能变桨变频器通讯板损坏。
8.检查变桨通讯线Can-H和L对地电阻，正常为无穷大。
"
