故障代码,故障解释,故障原因,解决方案,故障属性,故障类型
548,SS-4刹车存储继电器,PLC DI232模块A240.1:14（ISafBraStg）端口收不到反馈信号,"1.检查制动器传感器安装位置是否正确（正确的为长杆在中间，图纸代号为S222.6；短杆在旁边且有附件杆，图纸代号为S222.7）。
2.检查S222.6/S222.7传感器到PLC之间的线路是否存在问题。
3.bachmann简版机组程序问题，更新PLC程序到C14.143 20120427之后版。
4.更换传感器或制动器",bachmann PLC故障,安全链
549,扭缆保护,急停未拍下时，解缆保护信号触发超过2s,"1.如果故障不可复位，可能偏航凸轮开关设置或调节有误，偏航左、右极限位置的触发应先于解缆位置保护，即图纸中1、2号凸轮环应先于3号凸轮环触发。建议在电缆完全垂直状态下，重新调整偏航凸轮开关。
2.如果故障可复位，检查偏航电机刹车反馈回路是否有接地，导致偏航变频器20号端子无24V输出。找到接地点，处理好即可。",bachmann PLC故障,
550,叶片1回顺桨位置超时,桨叶在S3安全链停止状态中或S4正常停止状态中超时。,"1.检查是否卡桨，如是扭矩高导致卡桨，加注润滑油，若不是可以更新程序。
2.lenze系统报此故障可能电机刹车扭矩不够导致划桨产生，可以更新程序，如不管用，建议更换电机。
3.如果卡桨不能动弹，建议拆下变桨电机，手动盘变桨轴，看是否是减速机问题。",bachmann PLC故障,
551,叶片1到基准位置超时,"变桨在30秒内，找不到参考位置(b变桨一直在S7-Making reference
状态)","1.根据《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf方案》升级优化变桨参数。
2.更新PLC程序。
3.如果叶片卡死，手动变桨脱离卡死位置。                                    4.加注变桨润滑油。
5.拆下变桨电机，手动盘变桨轴。",bachmann PLC故障,
552,叶片1运行与命令状态不同,电气元件损坏,"1.检查安全链回路浪涌保护器。
2.检查安全链回路继电器。
3.检查安全链回路线路连接，PLC 故障检测端口（storage relay）-浪涌-滑环-轮毂柜-滑环-浪涌回路线路及器件是否正常。
4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。",bachmann PLC故障,
553,叶片2回顺桨位置超时,桨叶在S3安全链停止状态中或S4正常停止状态中超时。,"1.检查是否卡桨，如是扭矩高导致卡桨，加注润滑油，若不是可以更新程序。
2.lenze系统报此故障可能电机刹车扭矩不够导致划桨产生，可以更新程序，如不管用，建议更换电机。
3.如果卡桨不能动弹，建议拆下变桨电机，手动盘变桨轴，看是否是减速机问题。",bachmann PLC故障,
554,叶片2到基准位置超时,"变桨在30秒内，找不到参考位置(b变桨一直在S7-Making reference
状态)","1.根据《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf方案》升级优化变桨参数。
2.更新PLC程序。
3.如果叶片卡死，手动变桨脱离卡死位置。                                    4.加注变桨润滑油。
5.拆下变桨电机，手动盘变桨轴。",bachmann PLC故障,
555,叶片2运行与命令状态不同,电气元件损坏,"1.检查安全链回路浪涌保护器。
2.检查安全链回路继电器。
3.检查安全链回路线路连接，PLC 故障检测端口（storage relay）-浪涌-滑环-轮毂柜-滑环-浪涌回路线路及器件是否正常。
4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。",bachmann PLC故障,
556,叶片3回顺桨位置超时,桨叶在S3安全链停止状态中或S4正常停止状态中超时。,"1.检查是否卡桨，如是扭矩高导致卡桨，加注润滑油，若不是可以更新程序。
2.lenze系统报此故障可能电机刹车扭矩不够导致划桨产生，可以更新程序，如不管用，建议更换电机。
3.如果卡桨不能动弹，建议拆下变桨电机，手动盘变桨轴，看是否是减速机问题。",bachmann PLC故障,
557,叶片3到基准位置超时,"变桨在30秒内，找不到参考位置(b变桨一直在S7-Making reference
状态)","1.根据《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf方案》升级优化变桨参数。
2.更新PLC程序。
3.如果叶片卡死，手动变桨脱离卡死位置。                                    4.加注变桨润滑油。
5.拆下变桨电机，手动盘变桨轴。",bachmann PLC故障,
558,叶片3运行与命令状态不同,电气元件损坏,"1.检查安全链回路浪涌保护器。
2.检查安全链回路继电器。
3.检查安全链回路线路连接，PLC 故障检测端口（storage relay）-浪涌-滑环-轮毂柜-滑环-浪涌回路线路及器件是否正常。
4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。",bachmann PLC故障,
559,齿轮箱油温PT100故障,电气元件损坏,"1.检查安全链回路浪涌保护器。
2.检查安全链回路继电器。
3.检查安全链回路线路连接，PLC 故障检测端口（storage relay）-浪涌-滑环-轮毂柜-滑环-浪涌回路线路及器件是否正常。
4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。",bachmann PLC故障,
560,变桨1伺服盒连接,系统检测到变桨手动操作盒连接，此故障用于防止操作盒连接时机组误启机。,1.检查变桨1/2/3手动操作盒是否连接到变桨控制柜。,bachmann PLC故障,
561,叶片1驱动故障,变桨驱动出问题，具体原因参考变桨子故障,"1.检查核对变桨子故障。
2.如果三个故障同时报，检查滑环是否有问题。
3.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。",bachmann PLC故障,
562,预留,,,bachmann PLC故障,
563,变桨2伺服盒连接,系统检测到变桨手动操作盒连接，此故障用于防止操作盒连接时机组误启机。,1.检查变桨1/2/3手动操作盒是否连接到变桨控制柜。,bachmann PLC故障,
564,叶片2驱动故障,变桨驱动出问题，具体原因参考变桨子故障,"1.检查核对变桨子故障。
2.如果三个故障同时报，检查滑环是否有问题。
3.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。",bachmann PLC故障,
565,预留,,,bachmann PLC故障,
566,变桨3伺服盒连接,系统检测到变桨手动操作盒连接，此故障用于防止操作盒连接时机组误启机。,1.检查变桨1/2/3手动操作盒是否连接到变桨控制柜。,bachmann PLC故障,
567,叶片3驱动故障,变桨驱动出问题，具体原因参考变桨子故障,"1.检查核对变桨子故障。
2.如果三个故障同时报，检查滑环是否有问题。
3.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。",bachmann PLC故障,
568,叶片1位置偏大,PLC计算的变桨角度与实际变桨角度偏差2度超过1秒,"1.检查变桨轴承是否正常。
2.检查变桨变频器到变桨电机的电源线及连接。
3.检查变桨变频器到变桨电机的编码器线线及连接。",bachmann PLC故障,
569,叶片2位置偏大,PLC计算的变桨角度与实际变桨角度偏差2度超过1秒,"1.检查变桨轴承是否正常。
2.检查变桨变频器到变桨电机的电源线及连接。
3.检查变桨变频器到变桨电机的编码器线线及连接。",bachmann PLC故障,
570,叶片3位置偏大,PLC计算的变桨角度与实际变桨角度偏差2度超过1秒,"1.检查变桨轴承是否正常。
2.检查变桨变频器到变桨电机的电源线及连接。
3.检查变桨变频器到变桨电机的编码器线线及连接。",bachmann PLC故障,
571,"叶片位置不同步,偏慢",变桨在工作位置状态未限制角度时，三个桨叶角度偏差1度大于1秒,"1.更新PLC程序。
2.进行静态测试，反复手动变桨，通过控制面板观察三个叶片的变化角度，各个叶片的角度差是否大于1度。若是，可能滑环损坏。                                                           ",bachmann PLC故障,
572,"叶片位置不同步,偏快",变桨在工作位置状态未限制角度时，三个桨叶角度偏差1度大于0.5秒,"1.更新PLC程序。
2.进行静态测试，反复手动变桨，通过控制面板观察三个叶片的变化角度，各个叶片的角度差是否大于1度。若是，可能滑环损坏。",bachmann PLC故障,
573,最大轮毂速度与最大允许值不符,叶片回到顺桨位置的速到没到达到额定设置的最大值,"1.检查变桨轴承。
2.检查变桨减速机。",bachmann PLC故障,
574,叶片1基准位置故障,变桨停止位置与实际停止参考角度误差大于0.1度,"1.加变桨油脂。
2.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。
3.检查变桨轴承。",bachmann PLC故障,
575,叶片2基准位置故障,变桨停止位置与实际停止参考角度误差大于0.1度,"1.加变桨油脂。
2.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。
3.检查变桨轴承。",bachmann PLC故障,
576,叶片3基准位置故障,变桨停止位置与实际停止参考角度误差大于0.1度,"1.加变桨油脂。
2.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。
3.检查变桨轴承。",bachmann PLC故障,
577,叶片1限位开关在可停机状态未动作,变桨状态在S6时，接近开关反馈出错,"1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。
2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。
3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                         ",bachmann PLC故障,
578,叶片2限位开关在可停机状态未动作,变桨状态在S6时，接近开关反馈出错,"1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。
2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。
3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                         ",bachmann PLC故障,
579,叶片3限位开关在可停机状态未动作,变桨状态在S6时，接近开关反馈出错,"1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。
2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。
3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                         ",bachmann PLC故障,
580,叶片1限位开关在安全状态未动作,变桨状态在S5时，接近开关反馈出错,"1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。
2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。
3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                             ",bachmann PLC故障,
581,叶片2限位开关在安全状态未动作,变桨状态在S5时，接近开关反馈出错,"1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。
2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。
3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                             ",bachmann PLC故障,
582,叶片3限位开关在安全状态未动作,变桨状态在S5时，接近开关反馈出错,"1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。
2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。
3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                             ",bachmann PLC故障,
583,快速停止超时（高速时）, ---,"1.检查变桨扭矩。
2.检查变桨爱那个轴承润滑。",bachmann PLC故障,
584,快速停止超时（低速时）, ---,同上,bachmann PLC故障,
585,全速停止超时（高速时）, ---,"1.检查变桨扭矩。
2.检查变桨爱那个轴承润滑。",bachmann PLC故障,
586,全速停止超时（低速时）, ---,同上,bachmann PLC故障,
587,安全链停止超时（高速时）, ---,同上,bachmann PLC故障,
588,安全链停止超时（低速时）, ---,同上,bachmann PLC故障,
589,网侧变频器电流测量,网侧变频器电流测量问题,"1.手动测试Crowbar，看静态时lsccur是否小于50A，如果lsccur为300多安培，建议更换LSC。
2.如果lsccur在30-50A之间报故障，建议更换新版PLC程序。
3.变频器断电。
4.更换LSC。",bachmann PLC故障,
590,机侧变频器电流测量,机侧变频器电流测量问题,"1.手动测试Crowbar，看静态时gsccur是否小于50A，如果gsccur为300多安培，建议更换GSC。
2.如果gsccur在30-50A之间报故障，建议更换新版PLC程序。
3.变频器断电
4.更换GSC",bachmann PLC故障,
591,预充电过程直流母线电压高于网侧电压（150V）,网侧电抗问题,"1.如果断开滤波回路125A保险后正常，检查滤波回路1欧电阻、0.1微法电容及其它器件。
2.如果断开滤波回路125A保险无效果，断开网侧变频器交流母排外接电缆后正常，检查网侧电抗是否有问题。

",bachmann PLC故障,
592,偏航变频器供电接触器故障,偏航变频器接触器反馈错误,"1.检查偏航变频器接触器供电及反馈回路是否正常。
2.检查偏航变频器接触器是否正常。",bachmann PLC故障,
593,水温加热器接触器故障,偏航变频器接触器反馈错误,"1.检查偏航变频器接触器供电及反馈回路是否正常。
2.检查偏航变频器接触器是否正常。",bachmann PLC故障,
594,轮毂滑差波动超标,系统测得轮毂滑环编码器转速超过限值,"1.检查滑环的固定，支撑杆应紧固，滑环在旋转方向上应能够轻微旋动。
2.检查RotSpe1和RotSpe2信号，如有一路失真，则可能是滑环编码故障。
3.检查turck继电器及接线是否正常。",bachmann PLC故障,
595,变桨柜1温度过高,变桨变频器风扇损坏或变频器损坏,"1.检查变桨变频器风扇。
2.检查变桨变频器。",bachmann PLC故障,
596,变桨柜2温度过高,变桨变频器风扇损坏或变频器损坏,"1.检查变桨变频器风扇。
2.检查变桨变频器。",bachmann PLC故障,
597,变桨柜3温度过高,变桨变频器风扇损坏或变频器损坏,"1.检查变桨变频器风扇。
2.检查变桨变频器。",bachmann PLC故障,
598,平均变桨转矩故障,平均变桨扭矩大于限值超时,"1.更新PLC程序。
2.检查变桨扭矩是否正常。",bachmann PLC故障,
599,柜内冷却风扇接触器故障,,,bachmann PLC故障,
600,齿轮箱加热器线路故障,,,bachmann PLC故障,
601,变频器供电保险断开,,,bachmann PLC故障,
602,Circuit breaker suction hose pump,,,bachmann PLC故障,
603,变速箱油压过低,转速大于100rpm时，齿轮箱油压小于0.5bar超过1min,"1.检查齿轮箱油压传感器接线。
2.检查油压传感器供电电源。
3.检查油泵电机工作是否正常。
4.检查程序中传感器选型（数字量/模拟量是否选错，OilPreSenDig为False时表示模拟量油压传感器，反之为数字量油压传感器）。
5.数字量油压传感器设置方法：
按住moder，然后给传感器通电。SP1:0.6； HY1:0.1； SP2:15；  HY2:0.5；s1:on；  s2:off；
继续连续按几次moder至END。将NO改为YES。所有的设置均保存。
油压传感器的连线图参见017. 0034.01A的X226.5。",bachmann PLC故障,
