故障代码,故障解释,故障原因,解决方案,SYJX（故障属性）,故障类型
18,SS-10超出工作位置,PLC主站A240.3:18收不到24Vdc反馈信号,"1.如果运行中报此故障，且服务模式下不能复位，检查PLC检测Err18故障的端口A240.3:18（ISafWorPos）是否有24Vdc反馈，如有反馈仍无法复位，更换PLC；如没有反馈，检查A240.3:18-浪涌-滑环X4:5-轮毂柜-限位开关-滑环X4:3-浪涌之间相关线路及器件问题。
2.如果运行中报此故障，且服务模式下能复位，检查SCADA（WPM）监控软件历史故障记录，如果故障基本都在1600rpm以上转速才报出，则滑环虚接可能性较大，反之变桨控制柜之间连接线缆问题较大（该电缆须用扎带固定好，不可出现甩动现象，否则轮毂转动时容易损坏）。如果滑环及变桨柜之间的线缆均正常，检查A240.3:18-浪涌-滑环X4:5-轮毂柜-限位开关-滑环X4:3-浪涌之间的其它线路是否虚接。
3.如果调试时报此故障且不能复位，检查故障回路线路是否接错或存在断点。
4.如果是更新程序或调试时，叶片每次变桨到同一角度且不论转速高低都报此故障，检查程序中变桨减速机的减速比是否选择正确。
5.如果校正变桨停止位置角度后(即：叶片零位)，每次变到同样的角度报此故障，检查叶片限位开关是否安装/调节正确，正常是变桨到-4度左右才触发限位开关。叶片停止角度大于88度的叶型，对应的限位开关挡片需要使用可调行程的挡片，且必须调到最大行程处。",ABB.Pro程序PLC故障,安全链
19,SS-11轮毂驱动,PLC主站A240.3-E63.08收不到反馈信号,"1.安全链回路监测Err19故障的PLC端口—浪涌F238.2-滑环-轮毂柜之间的相关线路是否断开或松动。
2.检查轮毂柜内接触器K21.3、 K31.3、 K41.3是否吸合，如未吸合检查线圈供电的230V-L、N回路线路是否正常。 
3.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动，否则容易导致高转速下频报故障）。                             ",ABB.Pro程序PLC故障,安全链
20,SS-12存储继电器不能复位,PLC主站A240.3-E63.09收不到反馈信号,"1.如果复位其他故障时产生，只需复位或间隔3-5s左右再复位即可。
2.如果单报此故障，检查24V继电器K246.2、K246.3是否正常，大多数情况只是线圈部分损坏，此时可单独换线圈，无需更换底座。
3.检查K246.2、K246.3至主PLC的E63.09端口线路是否正常。",ABB.Pro程序PLC故障,安全链
21,柜内24V保险,PLC主站A240.3-EA63.03（I24Fus1）收不到反馈信号,"1.检查NCC310柜内F228.2至A240.3-EA63.03（I24Fus1）的线路是否正常。
2.检查NCC310柜内F228.2保险是否有烧坏，如果烧坏检查保险下端是否存在接地点。",ABB.Pro程序PLC故障,控制柜
22,柜外24V保险,PLC从站A250.3-E62.08（I24Fus2）收不到反馈信号,"1.检查NCC310柜内F222.5至从站PLC A250.3-E62.08（I24Fus2）端口线路是否正常。
2.检查NCC310柜内F222.5保险是否有烧坏，如果烧坏，保险下端是否接地。
3.如果打雷引起NCC310柜内F222.5保险烧坏，重点检查制动器压力开关、凸轮编码器是否击穿，电源有无接地。
4.如果油泵启动瞬间烧坏F222.5保险，检查油过滤压力传感器是否正常。",ABB.Pro程序PLC故障,控制柜
23,变频器不在CAN总线上,状态机不在PLC停止状态、PLC初始化状态、PLC自检状态或变频器复位状态时，变频器与主PLC之前通讯中断。,"1.检查变频器至CAN-spider之间的光纤连接是否正常，CAN-spider（NCC310-A293.2）上通讯光纤正常有一个口有光。
2.检查CAN-spider至PLC之间的CAN通讯线及终端电阻是否正常。
3.检查变频器上电源板指示灯是否正常、变频器供电电源是否正常，如NCC310-F352.4熔丝、网侧接触器K340.4辅助触点是否正常。 
4.检查主站PLC的CAN-Open协议是否正常，下载PLC的CAN协议时需要PLC处于Stop模式（可以通过AC1131登入后点击Stop或将PLC右上方的拨码拨到Stop位置）。
5.如果与Err24等变频故障一起报出，检查变频器是否存在问题。",ABB.Pro程序PLC故障,变流器
24,变频器检测到故障,变频器检测到故障，具体原因参考变频器子故障,"1.检查变频器子故障，按照子故障做对应检查处理。
2.如果LSC启动时报此故障，且发出剧烈响声，伴随Crowbar管状电阻烧坏，需要检查定子接触器是否只给230VAC就吸合，正常是等同步合格后，给出24VDC控制信号，定子接触器才吸合（特别是更换定子接触器24V控制电路板后，注意拨码开关拨到需要拨到右边PLC控制侧）。
3.更换网侧接触器时，注意型号为230V的线圈。
4.检查网侧接触器吸合及反馈是否正常。
5.如果与Err29等同时报出，检查水冷滤波电阻及350A保险是否正常，如需更换水冷滤波板或滤波电阻，务必要均匀涂上导热硅胶，且固定螺丝必须拧紧，最好选用长度及螺纹一致的内六角螺丝固定。
6.如果并网后不久变频器状态跳到S60,之后又跳到同步检测状态，然后报Err159或Err24故障，检查发电机编码器及固定接线是否正常，此类情况，无法从SCADA监控软件或50ms Trace数据分辨异常转速。
7.如果与Err23同时报出，检查变频器是否正常。
8.如果测试变频器时烧滤波电阻，检查网侧电抗是否正常。",ABB.Pro程序PLC故障,变流器
25,变频器请求功率与实际功率不等,实测功率与变频器理论功率偏差过大；电流互感器接线错误。,"1.检查三相电网电流是否平衡。
2.检查显示的三相电网电流与实际值是否相符（钳流表测得单根150电缆上的电流为面板显示电网相电流的1/5左右）。
3.检查电流互感器至变频器之间的接线是否有问题、顺序是否正确,NCC300柜内电流互感器到变频器的接线为S1（1-cur-trans-b）接T170.6的K端口、S2（1-cur-trans-a）接-V308.2-J2的1#口；S1（2-cur-trans-b）接T170.6的K端口、S2（2-cur-trans-a）接T170.6的L端口；S1（3-cur-trans-b）接T170.6的K端口、S2（3-cur-trans-a）接-V308.2-J2的3#口。V308.2-J2的2#口和4#口接T170.6的L端口。V308.2-J2端子对应国通变频器位置为机侧变频器的P15端子，其中J2:1对应A+，J2:2对应A-，J2:3对应C+，J2:4对应C-。以上问题在PM3000S改国通时需特别注意。
4.如果功率时正时负波动大，检查发电机编码器及固定是否有问题。
5.超导变频器机组检查网侧变频器电流检测板，国通变频器机组检查机侧变频器电流检测板。
6.超导变频器机组更换网侧变频器，国通变频器机组更换机侧变频器。",ABB.Pro程序PLC故障,变流器
26,风速仪24V保险,数字量DI92模块A260.3-E10.00（I24Fus3）收不到反馈信号,1.检查是否有风速显示，如无风速，检查风速仪供电保险是否烧坏，保险在09年12月以后的图纸中已经改到4-5A，如保险烧坏，检查保险下端是否存在接地点，风速仪工作时使用钳流表测量保险流过的最大电流。如有风速，检查风速仪保险至A260.3-E10.00（I24Fus3）的反馈线路是否松动。,ABB.Pro程序PLC故障,控制柜
27,数字量模块不在总线,数字量DI92模块A260.3-E11.15（IDigLiv）收不到反馈信号,"1.检查数字量模块A260.3-E11.15（IDigLiv）端口供电是否正常。
2.检查数字量模块电源供电是否正常。
3.检查PLC A240.3-X5端口至数字量模块X1端口的CS31-bus通讯线路是否正常。",ABB.Pro程序PLC故障,控制柜
28,模拟量模块不在总线,PLC检测到模拟量模块CS31-Bus通讯故障。,"1.检查模拟量模块供电是否正常。
2.检查数字量模块X1端口至模拟量模块X1端口线路是否正常。
3.检查",ABB.Pro程序PLC故障,控制柜
29,网侧接触器690V保险,数字量DI92模块A260.3-E10.02（I690Fus）收不到反馈信号,"1.检查NCC300-F102.2/3/4至数字量DI92模块A260.3-E10.02（I690Fus）端口线路是否正常。（检查时需断开690V电源）。
2.检查NCC300柜内网侧350A保险（-F102.2/3/4）及反馈触点是否正常（检查时需断开690V电源）
3.如果350A保险烧坏，检查网侧接触器是否粘连或绝缘不够。检查滤波回路1欧姆电阻是否正常，如损坏，更换水冷滤波板或滤波电阻，务必要均匀涂上导热硅胶，且固定螺丝必须拧紧，最好选用长度及螺纹一致的内六角螺丝固定。（原先梅花螺丝不易拧紧）。检查350A保险后端器件及电缆绝缘性，如是否存在电缆表皮磨破等问题。
4.如果与Err24、23等同时报出，检查变频器IGBT是否击穿。",ABB.Pro程序PLC故障,控制柜
30,24V辅助电源保险,NCC310-F230.4至数字量模块A260.3-E10.01（I24Fus4）的24V反馈信号丢失,"1.检查F230.4至数字量模块A260.3-E10.01（I24Fus4）线路是否正常。
2.检查F230.4保险(2A)是否正常,若保险烧坏，检查保险后端是否接地。",ABB.Pro程序PLC故障,控制柜
31,变桨1通讯,变桨1变频器与PLC间通讯中断,"1.如有变桨子故障，参考变桨故障处理手册。
2.如果Lenze系统做Crowbar测试报，检查Crowbar测试时，24V电源是否下降很大（如：降到13V左右），导致变桨变频器电源瞬间供电不足。
3.如果一偏航就报，检查偏航启动时，变桨通讯线缆CAN—H与CAN—L间的电阻跳变，正常为120欧姆。如果跳变，分段检查问题产生点。
4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。
5.检查PLC的CAN通讯接口到偏航变频器CAN口、变桨1变频器CAN之间的线路是否松动。
6.检查偏航变频器、变桨变频器CAN插头上的屏蔽线是否连接正常。",ABB.Pro程序PLC故障,看门狗
32,变桨2通讯,变桨2变频器与PLC间通讯中断,"1.如有变桨子故障，参考变桨故障处理手册。
2.如果Lenze系统做Crowbar测试报，检查Crowbar测试时，24V电源是否下降很大（如：降到13V左右），导致变桨变频器电源瞬间供电不足。
3.如果一偏航就报，检查偏航启动时，变桨通讯线缆CAN—H与CAN—L间的电阻跳变，正常为120欧姆。如果跳变，分段检查问题产生点。
4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。
5.检查PLC的CAN通讯接口到偏航变频器CAN口、变桨1变频器CAN之间的线路是否松动。
6.检查偏航变频器、变桨变频器CAN插头上的屏蔽线是否连接正常。",ABB.Pro程序PLC故障,看门狗
33,变桨3通讯,变桨3变频器与PLC间通讯中断,"1.如有变桨子故障，参考变桨故障处理手册。
2.如果Lenze系统做Crowbar测试报，检查Crowbar测试时，24V电源是否下降很大（如：降到13V左右），导致变桨变频器电源瞬间供电不足。
3.如果一偏航就报，检查偏航启动时，变桨通讯线缆CAN—H与CAN—L间的电阻跳变，正常为120欧姆。如果跳变，分段检查问题产生点。
4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。
5.检查PLC的CAN通讯接口到偏航变频器CAN口、变桨3变频器CAN之间的线路是否松动。
6.检查偏航变频器、变桨变频器CAN插头上的屏蔽线是否连接正常。",ABB.Pro程序PLC故障,看门狗
34,SS-2叶轮超速刹车,PLC主站A240.3-E63.10（ISafBraSpe）收不到反馈信号,"1.检查滑环是否固定良好、支撑杆是否松动、万向节活动是否灵活、与齿轮箱连接的支撑杆是否在齿轮箱侧加装30mm螺母。
2.检查滑环编码器到机舱控制柜、PLC端口间的接线是否松动。
3.检查制动器间隙是否正常、制动盘是否摩刹车片。
4.检查滑环编码器及其供电是否有问题。
5.检查轮毂超速继电器、设置值及接线是否正常。
6.检查超速继电器外接1k电阻是否正常（turck）。",ABB.Pro程序PLC故障,安全链
35,SS-3所有叶片错误,PLC主站A240.3-E63.11（ISafBraHub）收不到反馈信号,"1.检查PLC Err35故障检测端口（all 3 blades error）-浪涌-滑环-轮毂柜-滑环-浪涌回路线路及器件是否正常。 
2.检查轮毂柜内K25.7/K35.7/K45.7是否正常
3.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。",ABB.Pro程序PLC故障,安全链
36,SS-4刹车存储继电器,PLC主站A240.3-E63.12（ISafBraStr）收不到反馈信号,"1.检查制动器传感器安装位置是否正确（正确的为长杆在中间，图纸代号为S222.6；短杆在旁边且有附件杆，图纸代号为S222.7）。
2.检查S222.6/S222.7传感器到PLC之间的线路是否存在问题。
3.bachmann简版机组程序问题，更新PLC程序到C14.143 20120427之后版。
4.更换传感器或制动器",ABB.Pro程序PLC故障,安全链
37,预留,,,ABB.Pro程序PLC故障,
38,变桨1停止超时,桨叶在S3安全链停止状态中或S4正常停止状态中超时。,"1.检查是否卡桨，如是扭矩高导致卡桨，加注润滑油，若不是可以更新程序。
2.lenze系统报此故障可能电机刹车扭矩不够导致划桨产生，可以更新程序，如不管用，建议更换电机。
3.如果卡桨不能动弹，建议拆下变桨电机，手动盘变桨轴，看是否是减速机问题。",ABB.Pro程序PLC故障,变桨
39,变桨1寻找参考位置超时,"变桨在30秒内，找不到参考位置(b变桨一直在S7-Making reference
状态)","1.根据《1.5MW机组KEB变桨过电流等问题参数优化20120525.pdf方案》升级优化变桨参数。
2.更新PLC程序。
3.如果叶片卡死，手动变桨脱离卡死位置。                                    4.加注变桨润滑油。
5.拆下变桨电机，手动盘变桨轴。",ABB.Pro程序PLC故障,变桨
40,变桨1故障,电气元件损坏,"1.检查安全链回路浪涌保护器。
2.检查安全链回路继电器。
3.检查安全链回路线路连接，PLC 故障检测端口（storage relay）-浪涌-滑环-轮毂柜-滑环-浪涌回路线路及器件是否正常。
4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。",ABB.Pro程序PLC故障,变桨
41,变桨2停止超时,桨叶在S3安全链停止状态中或S4正常停止状态中超时。,"1.检查是否卡桨，如是扭矩高导致卡桨，加注润滑油，若不是可以更新程序。
2.lenze系统报此故障可能电机刹车扭矩不够导致划桨产生，可以更新程序，如不管用，建议更换电机。
3.如果卡桨不能动弹，建议拆下变桨电机，手动盘变桨轴，看是否是减速机问题。",ABB.Pro程序PLC故障,变桨
42,变桨2寻找参考位置超时,"变桨在30秒内，找不到参考位置(b变桨一直在S7-Making reference
状态)","1.根据《1.5MW机组KEB变桨过电流等问题参数优化20120525.pdf方案》升级优化变桨参数。
2.更新PLC程序。
3.如果叶片卡死，手动变桨脱离卡死位置。                                    4.加注变桨润滑油。
5.拆下变桨电机，手动盘变桨轴。",ABB.Pro程序PLC故障,变桨
43,变桨2故障,电气元件损坏,"1.检查安全链回路浪涌保护器。
2.检查安全链回路继电器。
3.检查安全链回路线路连接，PLC 故障检测端口（storage relay）-浪涌-滑环-轮毂柜-滑环-浪涌回路线路及器件是否正常。
4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。",ABB.Pro程序PLC故障,变桨
44,变桨3停止超时,桨叶在S3安全链停止状态中或S4正常停止状态中超时。,"1.检查是否卡桨，如是扭矩高导致卡桨，加注润滑油，若不是可以更新程序。
2.lenze系统报此故障可能电机刹车扭矩不够导致划桨产生，可以更新程序，如不管用，建议更换电机。
3.如果卡桨不能动弹，建议拆下变桨电机，手动盘变桨轴，看是否是减速机问题。",ABB.Pro程序PLC故障,变桨
45,变桨3寻找参考位置超时,"变桨在30秒内，找不到参考位置(b变桨一直在S7-Making reference
状态)","1.根据《1.5MW机组KEB变桨过电流等问题参数优化20120525.pdf方案》升级优化变桨参数。
2.更新PLC程序。
3.如果叶片卡死，手动变桨脱离卡死位置。                                    4.加注变桨润滑油。
5.拆下变桨电机，手动盘变桨轴。",ABB.Pro程序PLC故障,变桨
46,变桨3故障,电气元件损坏,"1.检查安全链回路浪涌保护器。
2.检查安全链回路继电器。
3.检查安全链回路线路连接，PLC 故障检测端口（storage relay）-浪涌-滑环-轮毂柜-滑环-浪涌回路线路及器件是否正常。
4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。",ABB.Pro程序PLC故障,变桨
47,预留,,,ABB.Pro程序PLC故障,
48,变桨1连接服务盒,系统检测到变桨手动操作盒连接，此故障用于防止操作盒连接时机组误启机。,1.检查变桨1/2/3手动操作盒是否连接到变桨控制柜。,ABB.Pro程序PLC故障,
49,变桨1驱动错误,变桨驱动出问题，具体原因参考变桨子故障,"1.检查核对变桨子故障。
2.如果三个故障同时报，检查滑环是否有问题。
3.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。",ABB.Pro程序PLC故障,
50,预留,,,ABB.Pro程序PLC故障,
51,变桨2连接服务盒,系统检测到变桨手动操作盒连接，此故障用于防止操作盒连接时机组误启机。,1.检查变桨1/2/3手动操作盒是否连接到变桨控制柜。,ABB.Pro程序PLC故障,
52,变桨2驱动错误,变桨驱动出问题，具体原因参考变桨子故障,"1.检查核对变桨子故障。
2.如果三个故障同时报，检查滑环是否有问题。
3.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。",ABB.Pro程序PLC故障,
53,预留,,,ABB.Pro程序PLC故障,
54,变桨3连接服务盒,系统检测到变桨手动操作盒连接，此故障用于防止操作盒连接时机组误启机。,1.检查变桨1/2/3手动操作盒是否连接到变桨控制柜。,ABB.Pro程序PLC故障,
55,变桨3驱动错误,变桨驱动出问题，具体原因参考变桨子故障,"1.检查核对变桨子故障。
2.如果三个故障同时报，检查滑环是否有问题。
3.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。",ABB.Pro程序PLC故障,
56,变桨1位置滞后故障,PLC计算的变桨角度与实际变桨角度偏差2度超过1秒,"1.检查变桨轴承是否正常。
2.检查变桨变频器到变桨电机的电源线及连接。
3.检查变桨变频器到变桨电机的编码器线线及连接。",ABB.Pro程序PLC故障,
57,变桨2位置滞后故障,PLC计算的变桨角度与实际变桨角度偏差2度超过1秒,"1.检查变桨轴承是否正常。
2.检查变桨变频器到变桨电机的电源线及连接。
3.检查变桨变频器到变桨电机的编码器线线及连接。",ABB.Pro程序PLC故障,
58,变桨3位置滞后故障,PLC计算的变桨角度与实际变桨角度偏差2度超过1秒,"1.检查变桨轴承是否正常。
2.检查变桨变频器到变桨电机的电源线及连接。
3.检查变桨变频器到变桨电机的编码器线线及连接。",ABB.Pro程序PLC故障,
59,变桨位置慢速不同步,变桨在工作位置状态未限制角度时，三个桨叶角度偏差1度大于1秒,"1.更新PLC程序。
2.进行静态测试，反复手动变桨，通过控制面板观察三个叶片的变化角度，各个叶片的角度差是否大于1度。若是，可能滑环损坏。                                                           ",ABB.Pro程序PLC故障,
60,变桨位置快速不同步,变桨在工作位置状态未限制角度时，三个桨叶角度偏差1度大于0.5秒,"1.更新PLC程序。
2.进行静态测试，反复手动变桨，通过控制面板观察三个叶片的变化角度，各个叶片的角度差是否大于1度。若是，可能滑环损坏。",ABB.Pro程序PLC故障,
61,轮糓最大速度未设定成额定最大值,叶片回到顺桨位置的速到没到达到额定设置的最大值,"1.检查变桨轴承。
2.检查变桨减速机。",ABB.Pro程序PLC故障,
62,变桨1初始位置错误,变桨停止位置与实际停止参考角度误差大于0.1度,"1.加变桨油脂。
2.按照《1.5MW机组KEB变桨过电流等问题参数优化20120525.pdf》，检查变桨变频器参数。
3.检查变桨轴承。",ABB.Pro程序PLC故障,
63,变桨2初始位置错误,变桨停止位置与实际停止参考角度误差大于0.1度,"1.加变桨油脂。
2.按照《1.5MW机组KEB变桨过电流等问题参数优化20120525.pdf》，检查变桨变频器参数。
3.检查变桨轴承。",ABB.Pro程序PLC故障,
64,变桨3初始位置错误,变桨停止位置与实际停止参考角度误差大于0.1度,"1.加变桨油脂。
2.按照《1.5MW机组KEB变桨过电流等问题参数优化20120525.pdf》，检查变桨变频器参数。
3.检查变桨轴承。",ABB.Pro程序PLC故障,
65,在stop_ok状态变桨1接近开关未激活,变桨状态在S6时，接近开关反馈出错,"1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120525.pdf》，检查变桨变频器参数。
2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。
3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                         ",ABB.Pro程序PLC故障,
66,在stop_ok状态变桨2接近开关未激活,变桨状态在S6时，接近开关反馈出错,"1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120525.pdf》，检查变桨变频器参数。
2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。
3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                         ",ABB.Pro程序PLC故障,
67,在stop_ok状态变桨3接近开关未激活,变桨状态在S6时，接近开关反馈出错,"1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120525.pdf》，检查变桨变频器参数。
2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。
3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                         ",ABB.Pro程序PLC故障,
68,在safety_ok状态变桨1接近开关未激活,变桨状态在S5时，接近开关反馈出错,"1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120525.pdf》，检查变桨变频器参数。
2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。
3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                         ",ABB.Pro程序PLC故障,
69,在safety_ok状态变桨2接近开关未激活,变桨状态在S5时，接近开关反馈出错,"1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120525.pdf》，检查变桨变频器参数。
2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。
3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                         ",ABB.Pro程序PLC故障,
70,在safety_ok状态变桨3接近开关未激活,变桨状态在S5时，接近开关反馈出错,"1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120525.pdf》，检查变桨变频器参数。
2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。
3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                         ",ABB.Pro程序PLC故障,
71,高速时快速停止超时,PLC故障30S后，发电机转速大于1000rpm,"1.检查变桨扭矩。
2.检查变桨轴承润滑。
3.检查发电机转速。",ABB.Pro程序PLC故障,
72,低速时快速停止超时,PLC故障状态下发电机转速大于1000rpm限制超过30s,"1.检查变桨扭矩。
2.检查变桨轴承润滑。
3.检查发电机转速。",ABB.Pro程序PLC故障,
73,高速时完全停止超时, ---,"1.检查变桨扭矩。
2.检查变桨爱那个轴承润滑。",ABB.Pro程序PLC故障,
74,低速时完全停止超时, ---,同上,ABB.Pro程序PLC故障,
75,高速时安全链停止超时, ---,同上,ABB.Pro程序PLC故障,
76,低速时安全链停止超时, ---,同上,ABB.Pro程序PLC故障,
77,网侧变频器电流测量,网侧变频器电流测量问题,"1.手动测试Crowbar，看静态时lsccur是否小于50A，如果lsccur为300多安培，建议更换LSC。
2.如果lsccur在30-50A之间报故障，建议更换新版PLC程序。
3.变频器断电。
4.更换LSC。",ABB.Pro程序PLC故障,
