故障代码,故障描述/现象,故障原因,解决方案
553,变桨1/2/3停止超时,桨叶在S3安全链停止状态中或S4正常停止状态中超时。,1.检查是否卡桨，如是扭矩高导致卡桨，加注润滑油，若不是可以更新程序。2.lenze系统报此故障可能电机刹车扭矩不够导致划桨产生，可以更新程序，如不管用，建议更换电机。3.如果卡桨不能动弹，建议拆下变桨电机，手动盘变桨轴，看是否是减速机问题。
554,变桨1/2/3寻找参考位置超时,"变桨在30秒内，找不到参考位置(b变桨一直在S7-Making reference
状态)",1.根据《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf方案》升级优化变桨参数。2.更新PLC程序。3.如果叶片卡死，手动变桨脱离卡死位置。4.加注变桨润滑油。5.拆下变桨电机，手动盘变桨轴。
555,变桨1/2/3故障,电气元件损坏,1.检查安全链回路浪涌保护器。2.检查安全链回路继电器。3.检查安全链回路线路连接，PLC 故障检测端口（storage relay）-浪涌-滑环-轮毂柜-滑环-浪涌回路线路及器件是否正常。4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。
556,变桨1/2/3停止超时,桨叶在S3安全链停止状态中或S4正常停止状态中超时。,1.检查是否卡桨，如是扭矩高导致卡桨，加注润滑油，若不是可以更新程序。2.lenze系统报此故障可能电机刹车扭矩不够导致划桨产生，可以更新程序，如不管用，建议更换电机。3.如果卡桨不能动弹，建议拆下变桨电机，手动盘变桨轴，看是否是减速机问题。
557,变桨1/2/3寻找参考位置超时,"变桨在30秒内，找不到参考位置(b变桨一直在S7-Making reference
状态)",1.根据《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf方案》升级优化变桨参数。2.更新PLC程序。3.如果叶片卡死，手动变桨脱离卡死位置。4.加注变桨润滑油。5.拆下变桨电机，手动盘变桨轴。
558,变桨1/2/3故障,电气元件损坏,1.检查安全链回路浪涌保护器。2.检查安全链回路继电器。3.检查安全链回路线路连接，PLC 故障检测端口（storage relay）-浪涌-滑环-轮毂柜-滑环-浪涌回路线路及器件是否正常。4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。
560,变桨1/2/3手动操作盒连接,系统检测到变桨手动操作盒连接，此故障用于防止操作盒连接时机组误启机。,1.检查变桨1/2/3手动操作盒是否连接到变桨控制柜。
561,变桨1/2/3驱动故障,变桨驱动出问题，具体原因参考变桨子故障,1.检查核对变桨子故障。2.如果三个故障同时报，检查滑环是否有问题。3.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。
563,变桨1/2/3手动操作盒连接,系统检测到变桨手动操作盒连接，此故障用于防止操作盒连接时机组误启机。,1.检查变桨1/2/3手动操作盒是否连接到变桨控制柜。
564,变桨1/2/3驱动故障,变桨驱动出问题，具体原因参考变桨子故障,1.检查核对变桨子故障。2.如果三个故障同时报，检查滑环是否有问题。3.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。
566,变桨1/2/3手动操作盒连接,系统检测到变桨手动操作盒连接，此故障用于防止操作盒连接时机组误启机。,1.检查变桨1/2/3手动操作盒是否连接到变桨控制柜。
567,变桨1/2/3驱动故障,变桨驱动出问题，具体原因参考变桨子故障,1.检查核对变桨子故障。2.如果三个故障同时报，检查滑环是否有问题。3.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。
568,变桨1/2/3位置延时故障,PLC计算的变桨角度与实际变桨角度偏差2度超过1秒,1.检查变桨轴承是否正常。2.检查变桨变频器到变桨电机的电源线及连接。3.检查变桨变频器到变桨电机的编码器线线及连接。
569,变桨1/2/3位置延时故障,PLC计算的变桨角度与实际变桨角度偏差2度超过1秒,1.检查变桨轴承是否正常。2.检查变桨变频器到变桨电机的电源线及连接。3.检查变桨变频器到变桨电机的编码器线线及连接。
570,变桨1/2/3位置延时故障,PLC计算的变桨角度与实际变桨角度偏差2度超过1秒,1.检查变桨轴承是否正常。2.检查变桨变频器到变桨电机的电源线及连接。3.检查变桨变频器到变桨电机的编码器线线及连接。
571,变桨慢速不同步,变桨在工作位置状态未限制角度时，三个桨叶角度偏差1度大于1秒,1.更新PLC程序。2.进行静态测试，反复手动变桨，通过控制面板观察三个叶片的变化角度，各个叶片的角度差是否大于1度。若是，可能滑环损坏。                                                           
572,变桨快速不同步,变桨在工作位置状态未限制角度时，三个桨叶角度偏差1度大于0.5秒,1.更新PLC程序。2.进行静态测试，反复手动变桨，通过控制面板观察三个叶片的变化角度，各个叶片的角度差是否大于1度。若是，可能滑环损坏。
573,顺桨速度未达到最大额定值,叶片回到顺桨位置的速到没到达到额定设置的最大值,1.检查变桨轴承。2.检查变桨减速机。
574,变桨1/2/3停止位置错误,变桨停止位置与实际停止参考角度误差大于0.1度,"1.加变桨油脂。2.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。
3.检查变桨轴承。"
575,变桨1/2/3停止位置错误,变桨停止位置与实际停止参考角度误差大于0.1度,"1.加变桨油脂。2.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。
3.检查变桨轴承。"
576,变桨1/2/3停止位置错误,变桨停止位置与实际停止参考角度误差大于0.1度,"1.加变桨油脂。2.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。
3.检查变桨轴承。"
577,变桨1/2/3在停止状态下接近开关没有激活,变桨状态在S6时，接近开关反馈出错,1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                         
578,变桨1/2/3在停止状态下接近开关没有激活,变桨状态在S6时，接近开关反馈出错,1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                         
579,变桨1/2/3在停止状态下接近开关没有激活,变桨状态在S6时，接近开关反馈出错,1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                         
580,变桨1/2/3在安全链停止ok状态下接近开关没有激活,变桨状态在S5时，接近开关反馈出错,1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                             
581,变桨1/2/3在安全链停止ok状态下接近开关没有激活,变桨状态在S5时，接近开关反馈出错,1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                             
582,变桨1/2/3在安全链停止ok状态下接近开关没有激活,变桨状态在S5时，接近开关反馈出错,1.按照《1.5MW机组KEB变桨过电流等问题参数优化20120308.pdf》，检查变桨变频器参数。2.如果叶片停在9点方向报此故障，可能是刹车未关闭导致，检查继电器K25.8/K35.8/K45.8是否正常。3.检查是否划桨（特别是lenze电机），可能是变桨电机刹车扭矩不够导致划桨。                             
583,高速快停超时, ---,1.检查变桨扭矩。2.检查变桨爱那个轴承润滑。
584,高速慢停超时, ---,同上
585,高速完全停止超时, ---,1.检查变桨扭矩。2.检查变桨爱那个轴承润滑。
586,低速完全停止超时, ---,同上
587,高速安全链停机超时, ---,同上
588,低速安全链停机超时, ---,同上
589,静态时，网侧电流偏高,网侧变频器电流测量问题,1.手动测试Crowbar，看静态时lsccur是否小于50A，如果lsccur为300多安培，建议更换LSC。2.如果lsccur在30-50A之间报故障，建议更换新版PLC程序。3.变频器断电。4.更换LSC。
590,静态时，机侧电流偏高,机侧变频器电流测量问题,1.手动测试Crowbar，看静态时gsccur是否小于50A，如果gsccur为300多安培，建议更换GSC。2.如果gsccur在30-50A之间报故障，建议更换新版PLC程序。3.变频器断电4.更换GSC
591,预充电时直流母排电压为960V左右，到LSC Low  Load(变频器菜单第二行的state为Line  filter  loading)时母排电压下降到777V到810V左右。,网侧电抗问题,"1.如果断开滤波回路125A保险后正常，检查滤波回路1欧电阻、0.1微法电容及其它器件。2.如果断开滤波回路125A保险无效果，断开网侧变频器交流母排外接电缆后正常，检查网侧电抗是否有问题。

"
592,偏航变频器供电接触器故障,偏航变频器接触器反馈错误,1.检查偏航变频器接触器供电及反馈回路是否正常。2.检查偏航变频器接触器是否正常。
594,轮毂转速波动超过限值,系统测得轮毂滑环编码器转速超过限值,1.检查滑环的固定，支撑杆应紧固，滑环在旋转方向上应能够轻微旋动。2.检查RotSpe1和RotSpe2信号，如有一路失真，则可能是滑环编码故障。3.检查turck继电器及接线是否正常。
595,变桨1/2/3控制柜温度高超时,变桨变频器风扇损坏或变频器损坏,1.检查变桨变频器风扇。2.检查变桨变频器。
596,变桨1/2/3控制柜温度高超时,变桨变频器风扇损坏或变频器损坏,1.检查变桨变频器风扇。2.检查变桨变频器。
597,变桨1/2/3控制柜温度高超时,变桨变频器风扇损坏或变频器损坏,1.检查变桨变频器风扇。2.检查变桨变频器。
598,平均变桨转矩故障,平均变桨扭矩大于限值超时,1.更新PLC程序。2.检查变桨扭矩是否正常。
599,柜内冷却风扇接触器故障,,
600,齿轮箱加热器线路故障,,
601,变频器供电保险断开,,
603,齿轮箱油压低,转速大于100rpm时，齿轮箱油压小于0.5bar超过1min,1.检查齿轮箱油压传感器接线。2.检查油压传感器供电电源。3.检查油泵电机工作是否正常。4.检查程序中传感器选型（数字量/模拟量是否选错，OilPreSenDig为False时表示模拟量油压传感器，反之为数字量油压传感器）。5.数字量油压传感器设置方法：按住moder，然后给传感器通电。SP1:0.6； HY1:0.1； SP2:15； HY2:0.5；s1:on；  s2:off；继续连续按几次moder至END。将NO改为YES。所有的设置均保存。油压传感器的连线图参见017. 0034.01A的X226.5。
604,齿轮油泵未转时，油压大于0.5bar超过1min,线路接错或程序问题,1.检查油压传感器接线。2.如为数字量油压传感器，检查油压数字量油压传感器设置值。检查油压传感器显示屏显示值与控制面板显示值是否一致。3.检查程序中传感器选型（数字量/模拟量是否选错，OilPreSenDig为False时表示模拟量油压传感器，反之为数字量油压传感器）。
605,齿轮箱加热超时,齿轮箱加热时间超过6h,1.检查齿轮箱加热回路线路是否正常。2.检查齿轮箱加热器是否正常。
606,电池充电超时,蓄电池充电时间超过6h,1.检查电池充电回路线路。2.检查充电回路电阻阻值。3.检查充电回路继电器、接触器。4.检查电池实际电压在充电状态下是否上涨。
608,轮毂速度信号差异,SpeRot1与SpeRot2之间差值大于100rpm超过1s,1.检查TRUCK超速继电器及其调节值是否正常。2.检查滑环编码器信号反馈是否正常。                                                
609,叶轮转速信号1反馈错误,A240.3-EW6.00接收到的叶轮转速1信号反馈小于4mA,1.检查B234.4 turck继电器到PLC的线路。2.检查B234.4 turck供电电源。3.更换B234.4 turck继电器
610,叶轮转速信号2反馈错误,A240.3-EW6.01接收到的叶轮转速2信号反馈小于4mA,1.检查B234.6 turck继电器到PLC的线路。2.检查B234.6 turck供电电源。3.更换B234.6 turck继电器
612,塔基UPS报警,塔基柜UPS报警信号触发,1.检查塔基柜UPS是否报警。2.检查塔基柜UPS反馈信号是否正常。
613,塔基电源供应断路器,塔基电源断路器反馈信号触发,1.检查电源断路器及反馈信号是否正常。
615,NCC310柜急停按钮触发,NCC310柜急停按钮拍下或线路问题,1.检查NCC310柜急停按钮是否拍下。2.检查急停按钮反馈回路24Vdc是否正常。3.检查急停及急停反馈线路是否正常。
616,齿轮箱侧急停按钮触发,齿轮箱左右侧急停按钮拍下或线路问题,1.检查齿轮箱急停按钮是否拍下。2.检查急停按钮反馈回路24Vdc是否正常。3.检查急停及急停反馈线路是否正常。
617,TBC100柜急停触发,TBC100柜急停按钮拍下或线路问题,1.检查塔基柜急停按钮是否拍下。2.检查急停按钮反馈回路24Vdc是否正常。3.检查急停及急停反馈线路是否正常。
618,电池电压高,电池电压大于450V超过0.5s,1.检查电池电压测量回路电阻是否正常（220K±3K/4.7K±0.2K）。2.检查电池电压测量回路线路连接是否正常。3.检查电池电压测量回路电压/电流变送器是否正常。
619,箱变温度过高,系统检测到箱变温度低于-20度或高于155度,1.检查系统接收的箱变绕组温度信号是否使用100欧电阻替代，若是，检查电阻接线是否正常。若否，检查箱变实际反馈的信号是否正常。2.检查测温回路浪涌是否正常。                       
620,发电机绕组U/V/W温度故障,发电机绕组温度小于-50或大于250度,1.检查发电机绕组测温PT100至PLC模块间线路。2.测量发电机绕组测温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。3.如果PT100损坏，改接线到备用PT100，如果同相绕组的2个PT100均损坏，联系发电机厂家解决。
621,发电机绕组U/V/W温度故障,发电机绕组温度小于-50或大于250度,1.检查发电机绕组测温PT100至PLC模块间线路。2.测量发电机绕组测温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。3.如果PT100损坏，改接线到备用PT100，如果同相绕组的2个PT100均损坏，联系发电机厂家解决。
622,发电机绕组U/V/W温度故障,发电机绕组温度小于-50或大于250度,1.检查发电机绕组测温PT100至PLC模块间线路。2.测量发电机绕组测温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。3.如果PT100损坏，改接线到备用PT100，如果同相绕组的2个PT100均损坏，联系发电机厂家解决。
623,发电机驱动端轴承温度故障,发电机驱动端轴承温度小于-50或大于250度,1.检查发电机驱动端轴承测温PT100至PLC模块间线路。2.测量发电机驱动端轴承测温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。3.如果PT100损坏，改接线到备用PT100，如果同相绕组的2个PT100均损坏，联系发电机厂家解决。
624,发电机非驱动端轴承温度故障,发电机非驱动端轴承温度小于-50或大于250度,1.检查发电机非驱动端轴承测温PT100至PLC模块间线路。2.测量发电机非驱动端轴承测温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。3.如果PT100损坏，改接线到备用PT100，如果同相绕组的2个PT100均损坏，联系发电机厂家解决。
625,齿轮箱轴承温度故障,齿轮箱轴承温度小于-50或大于250度,1.检查齿轮箱轴承测温PT100至PLC模块间线路。2.测量齿轮箱轴承测温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。3.如果PT100损坏，改接线到备用PT100（一个传感器内部有两组接线，代表两个PT），如果2个PT均损坏，更换PT。
626,齿轮油温故障,齿轮箱油温温度小于-50或大于250度,1.检查齿轮箱油温测温PT100至PLC模块间线路。2.测量齿轮箱油温测温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。3.如果PT100损坏，改接线到备用PT100（一个传感器内部有两组接线，代表两个PT），如果2个PT均损坏，更换PT。
627,电池电压低,电池电压小于100V超过1s或电池电压小于330V超过20s,"1.检查电池柜内空开及NCC310柜电池开关是否闭合。2.检查电池实际电压是否与显示电压一直。
3.检查电池柜内每组电池电压是否差别很大。4.检查电池电压测量回路电阻是否正常（220K±3K/4.7K±0.2K）。5.检查电池电压测量回路线路连接是否正常。6.检查电池电压测量回路电压/电流变送器是否正常。
7.检查电网断电后电池切出保护功能是否正常（停电时，ABB、bachmann简版机组延时5-10min切出，bachmann+PM3000W机组延时5mink210.5机械锁动作，延时15-20min机舱断电，延时30min塔基断电）。"
628,机舱温度高,机舱温度大于55度,"1.检查机舱测温PT100接线及阻值。
2.检查机舱实际温度是否确实高，检查油冷扇热器帆布是否安装不好，导致热风吹到机舱内部。"
629,机舱温度故障,机舱温度小于-50度或大于250度,1.检查机舱测温PT100接线及阻值。
