变频器故障代码 ,故障现象,故障原因,解决方案
20,AD 采样零漂过大,ADC 模拟采样通道零漂过,"(1)检查是否有电流采样或电压采样线松动——插紧电流和电压检测线；
(2)如果故障仍不能消除——更换网侧检测板；"
21,模块过热,检测到IGBT 模块温度超过系统设定点,"(1)确认IGBT 模块确实过热——检查风扇是否正常工作；
(2)检查网侧驱动线是否连接可靠——插紧驱动线；
(3)检查网侧检测板是否工作正常——更换网侧检测板；"
22,网侧接触器闭合超时,在主接触器闭合命令发出后，主接触器不能在规定时间内闭合,（1）检查网侧接触器是否正常，如果必要更换网侧接触器                                  （2）检查网侧接触器反馈信号线是否正确连接，是否松动                                  （3）检查网侧模块P1A接口是否松动或连接线接触不良
23,网侧接触器断开超时,在主接触器断开命令发出后，主接触器不能在规定时间内断开,"（1）检查网侧接触器是否正常，如果必要更换网侧接触器
（2）检查网侧接触器反馈信号线是否正确连接，是否松动
（3）检查网侧模块P1A接口是否松动或连接线接触不良
"
24,网侧接触器异常断开,系统运行时，检测到网侧接触断开,"（1）检查PLC是否报出其他故障，如果有则可能是plc强行断开网侧接触器；
（2）检查网侧接触器是否正常，若不正常更换；
（3）检查网侧接触器反馈线是否连接正常；
（4）检查网侧模块P1A接口是否松动或接触不良；
"
25,网侧接触器异常闭合,系统停机状态下，检测到网侧接触闭合,"（1）检查网侧接触器是否正常，若不正常更换；
（2）检查网侧接触器反馈线是否连接正常；
（3）检查网侧模块P1A接口是否松动或接触不良；"
26,"预充电接触器闭合失
败","在预充电接触器闭合命令发出后，预充
电接触器不能在规定时间内闭合","（1）检查预充电接触器线圈至网侧模块K2A、K2B 接口接线是否正确。
（2）如果网侧模块K2A、K2B 接口没有230VAC电压，检查安全链230V回路。
（3）检查预充电接触器是否正常，如有必要更换预充电接触器。"
27,调试错误,,（1）正常不设置此故障，若出现重新更换PLC程序
28,水冷主控通讯错误,网侧与主控的通讯异常,"(1)检查网侧变频器与canspider的通讯光纤是否正确连接；
(2)检查主站PLC的can接口是否工作正常；
(3)如果是更新PLC程序所致，则断电1分钟后重启即可；"
29,CAN通讯故障,,"(1)正常运行时不会产生此故障，如果产生此故障，请刷新PLC程序，可能为PLC解析错误；
(2）检查canspider到变频器通讯光纤连接是否正确；3检查canspider是否良好；"
30,CPLD与DSP的版本不匹配,CPLD与DSP的版本不匹配,（1）更换网侧DSP板
31,历史故障存储失败,历史故障存储失败,（1）更换网侧DSP板
32,保留,变频器不产生此故障代码,（1）更新PLC程序
33,电网AB线电压过压,电网AB 线电压超过系统设定的过压点,"(1)确认电网是否过压——电网过压时系统需要停机保护，通过WPM观察；
(2)更换检查板
(3)检查电网电压检测线是否松动或异常——插紧检测线；"
34,电网BC线电压过压,电网BC线电压超过系统设定的过压点,"(1)确认电网是否过压——电网过压时系统需要停机保护，通过WPM观察；
(2)更换检查板
(3)检查电网电压检测线是否松动或异常——插紧检测线；"
35,电网AC线电压过压,电网AC线电压超过系统设定的过压点,"(1)确认电网是否过压——电网过压时系统需要停机保护，通过WPM观察；
(2)更换检查板
(3)检查电网电压检测线是否松动或异常——插紧检测线；"
36,电网AB线电压欠压,电网AC线电压低于系统设定的欠压点,"(1)确认电网是否欠压——电网欠压时系统需要停机保护，通过WPM观察曲线；
(2)更换检测板
(3)检查电网电压检测线是否松动或异常——插紧检测线；"
37,电网BC线电压欠压,电网BC线电压低于系统设定的欠压点,"(1)确认电网是否欠压——电网欠压时系统需要停机保护，通过WPM观察曲线；
(2)更换检测板
(3)检查电网电压检测线是否松动或异常——插紧检测线；"
38,电网CA线电压欠压,电网CA线电压低于系统设定的欠压点,"(1)确认电网是否欠压——电网欠压时系统需要停机保护，通过WPM观察曲线；
(2)更换检测板
(3)检查电网电压检测线是否松动或异常——插紧检测线；"
39,保留,变频器不产生此故障代码,如果产生此故障，更新PLC程序
40,电网过频,电网过频超出系统设定的过频点,"（1）确定是否电网频率过高——电网频率过高时系统停机保护，通过WPM观察曲线；
（2）更换网侧检测板"
41,电网欠频,电网过频低于系统设定的欠频点,（1）确定是否电网频率过低——电网频率过低时系统停机保护，通过WPM观察曲线；                   （2)更换网侧检测板
42,电网相序反,电网相序错误,"(1)确定电网相序是否接错——断电后调整电网输入相序为ABC；
(2)检查电网电压采样线是否接错——断电后调整电网采样线相序为ABC"
43,模块A相运行过流,系统运行时，模块A相运行发生过流,"(1)确定电网A相是否发生过流，通过WPM观察A相曲线是否真正过流，如果真过流，检查690V回路是否有破损、短路点；
(2)如果未超出允许限制电流范围，更换检测板；"
44,模块B相运行过流,系统运行时，模块A相运行发生过流,"(1)确定电网B相是否发生过流，通过WPM观察A相曲线是否真正过流，如果真过流，检查690V回路是否有破损、短路点；
(3)如果未超出允许限制电流范围，更换检测板；"
45,模块C相运行过流,系统运行时，模块A相运行发生过流,"(1)确定电网C相是否发生过流，通过WPM观察A相曲线是否真正过流，如果真过流，检查690V回路是否有破损、短路点；
(2)如果未超出允许限制电流范围，更换检测板；"
46至48,保留,变频器不产生此故障代码,如果产生此故障，更新PLC程序
49,母线预充电超时,母线充电时，在规定的时间内没有达到预定值,"(1)确定预充电接触器工作是否正常——在单步调试模式下可以测试预充电动作；
(2)确认预充电回路是否损坏，测量整流桥和电阻
(3)检查网侧变频器P13B和网侧变频器进线相序是否正确"
50,保留,变频器不产生此故障代码,如果产生此故障，更新PLC程序
51,母线预充电欠电压,母线预充电时母线电压低,"（1）确定预充电接触器工作是否正常，手动模式下可以测试预充电动作；
（2）检查预充电回路是否损坏
（3）检查网侧变频器P13B和网侧变频器进线相序是否正确；
（4）更换网侧变频器"
52,母线不控整流过压,不控整流过程中母线电压过高,"（1）确定故障时电网电压是否正常，可通过WPM观察故障时电压曲线
（2）如果不存在这个原因，更换检测板
（3）网侧变频器损坏"
53,母线不控整流欠压,不控整流过程中母线电压过低,"(1)确定母线电压检测是否正确——查看检测值是否与真实母线电压一致；
(2)确定主接触器工作是否正常——在单步调试模式下可以测试网侧接触器动作；
(3)更换检测板。"
54,母线运行过压,正常运行中母线电压过高,"(1)确定母线电压检测是否正确——查看检测值是否与真实母线电压一致；
(2)检查正网侧接触器及反馈线是否正常，如果网侧接触器异常断开会导致故障产生；"
55,母线运行欠压,正常运行中母线电压过低,"(1)确定母线电压检测是否正确——查看检测值是否与真实母线电压一致；
(2)检查正网侧接触器及反馈线是否正常，如果网侧接触器异常断开会导致故障产生；
(3)检查主线路，包括350A保险，如果烧坏，造成电源缺相，会产生此故障。"
56,主路熔丝断开,此应用场合不会产生此故障,更新PLC程序
57至64,保留,变频器不产生此故障代码,如果产生此故障，更新PLC程序
,,,
65,母线硬件过压,母线电压超过系统硬件设定的保护点,"(1)确认系统是否有故障造成母线过压；
(2)检查母线采样线是否正确及可靠连接；"
66,母线软件过压,母线电压超过系统软件设定的保护点,"(1)确认系统是否有故障造成母线过压；
(2)检查母线采样线是否正确及可靠连接；"
67,母线软件欠压,母线电压低于系统软件设定的保护点,"(1)检查母线电压检测是否正确；
(2)确认系统是否有故障造成母线过压；
(3)检查网侧是否有故障发生——网侧若先发生故障停机，会导致母线欠压，故需解决网侧故障；"
68,crowbar不触发,,"（1）如果主动机组用的被动式变频器，会产生此故障；
（2）检查发电机转子侧是否有问题
（3）crowbar单元损坏"
69,crowbar触发,母线电压过高或转子电流过大导致,"(1)检查Crowbar 是否确实被触发，测试成功产生此故障；
(2)结合主控核实电网是否发生过低压故障；"
70,crowbar自检失败,crowbar自检结果与预期不符/变频器程序不匹配,"（1）确认crowbar已经正确安装，连线正确，检查连接线，尤其是驱动线；
（2）确认crowbar类型被正确设置（主动/被动）
（3）通过后台软件对变频器恢复到出厂设置，并断电重启
（4）确认测试命令发出后，预充电接触器是否吸合，直流母线电压是否升高。如果没有检查预充电回路
（5）crowbar单元损坏"
71,crowbar误触发,"系统未驱动Crowbar ， 但
Crowbar 被触发","（1）对于主动crowbar，检查驱动线是否正确连接，磁环是否正确安装，驱动线是否远离电感，对于被动式crowbar，检查驱动光纤是否连接可靠
（2）通过后台观察crowbar电阻波形，如果在待机状态的情况下，该电压波形超过15V，且没有任何波动，则更换控制板
（3）检查crowbar电阻接线是否正确，确认crowbar电阻是否良好
（4）若crowbar测试单报此故障，且变频器测试正常，检查发电机转子不平衡度和绝缘"
72,转子A相硬件过流,转子A 相电流瞬时值超过硬件保护点,"（1）检查转子电流是否发生过过流，通过WPM观察曲线，如果真正过流，检查发电机转子回路；
（2）检查转子电流采样线是否连接可靠——插紧采样线；
（3）检查转子侧检测板和驱动板间的驱动电缆是否连接可靠——插紧驱动线；                   （4）运行机组，并网瞬间就报或静态变频器测试就报，更换变频器检测板和DSP板，更新到和crowbar版本匹配"
73,转子B相硬件过流,转子B相电流瞬时值超过硬件保护点,"(1)检查转子电流是否发生过过流，通过WPM观察曲线，如果真正过流，检查发电机转子回路；
(2)检查转子电流采样线是否连接可靠——插紧采样
线；
(3)检查转子侧检测板和驱动板间的驱动电缆是否连接可靠——插紧驱动线；                   （4）运行机组，并网瞬间就报或静态变频器测试就报，更换变频器检测板和DSP板，更新到和crowbar版本匹配"
74,转子C相硬件过流,转子C相电流瞬时值超过硬件保护点,"(1)检查转子电流是否发生过过流，通过WPM观察曲线，如果真正过流，检查发电机转子回路；
(2)检查转子电流采样线是否连接可靠——插紧采样
线；
(3)检查转子侧检测板和驱动板间的驱动电缆是否连接可靠——插紧驱动线；                   (4)运行机组，并网瞬间就报或静态变频器测试就报，更换变频器检测板和DSP板，更新到和crowbar版本匹配"
75,转子电流模值过大,转子电流合成值超过保护点,"(1)检查转子电流是否发生过过流；
(2)检查转子功率线是否连接可靠，对地是否存在漏电现象；
(3)检查转子电流采样线是否连接可靠——插紧采样
线；
(4)检查转子侧检测板和驱动板间的驱动电缆是否连接可靠——插紧驱动线；
(5)检查转子侧检测板是否正常工作——更换检测板；"
76至82,保留,变频器不产生此故障代码,如果产生此故障，更新PLC程序
83,转子漏电流过大,转子三相漏电流超过保护点,"(1)检查机侧变频器至转子690V功率线是否连接可靠，对地是否存在漏电现象；
(2)检查转子电流采样线是否连接可靠——插紧采样
线；
(3)检查转子侧检测板和驱动板间的驱动电缆是否连接可靠——插紧驱动线；
(4)检查转子侧检测板上的电流采样部分的跳线是否在正确位置；
(5)检查转子侧检测板是否正常工作——更换检测板；                "
84,定子电流模值过大,定子合成三相合成电流过流,"(1)检查定子电流是否发生过过流；
(2)检查定子电流检测线是否连接可靠，对地是否存在漏电现象；
(3)检查定子电流功率电缆是否连接可靠；
(4)检查检测板是否工作正常——更换检测板；"
85至87,保留,变频器不产生此故障代码,如果产生此故障，更新PLC程序
88,IGBT过流,IGBT 硬件Vce 保护,"查看对应驱动板上的红色发光二极管是否点亮。
红色二极管点亮的解决措施：(1)检查检测板到驱动板之间的排线极性是否正确，是否有松动——更换或插紧排线；
(2)检查网侧功率模块驱动板与IGBT 之间的驱动线是否松动——插紧驱动线；
(3)检查驱动板外观，看是否有毁坏的痕迹，确认驱动板是否损坏——更换驱动板；
(4)检查IGBT 模块是否损坏——更换损坏的IGBT 模块；
红色发光二极管没有点亮的解决措施：说明是干扰造成的，检查系统接地是否良好；控制板与检测板之间的连线是否连接完好。"
89,网侧故障,网侧故障,检查网侧模块是否有故障发生，排除网侧模块故障
90,辅助电源故障,单板电源故障,"(1)检查信号处理板P10 端口的供电电源是否超出范围——检修供电电源；
(2)检查辅助电源板到检测板间的电源线是否连接正确可靠；
(3)检查网侧控制板到检测板的排线是否有松动——插紧排线；
(4)检查检测板是否工作正常——更换检测板；"
91,定子接触器异常闭合,未并网状态下，检测到定子接触器闭合,"（1）确认并网接触器是否闭合——检查并网接触器闭合原因；
（2）确认并网接触器是否故障——检修并网接触器；
（3）确认并网接触器状态反馈线是否断开或未接好——插紧并网接触器状态线"
92至96,保留,变频器不产生此故障代码,如产生此故障，重刷PLC程序
97,RAM自检失,控制板RAM 芯片读写发生错误,更换机侧DSP板
98,模块过热,转子侧IGBT 温度超过保护值,"(1)如果变频器在运行中产生此故障，检查风机水冷系统是否工作正常；
(2)如变频器未运行及产生此故障，检查网侧驱动线是否连接正常或更换驱动板；             (3)用国通后台查看模块选型（国通一代用GT模块，国通二代用PM1000改造），更改正确类型；"
99,保留,变频器不产生此故障代码,如产生此故障，重刷PLC程序
100,启动欠速,启动时发电机欠速,"(1)检查实际电机转速是否欠速，发电机转速低于1200rpm时，如果启动机侧模块，会产生此故障；
(2)检查码盘与电机固定处是否有松动；
(3)检查码盘信号接口P16 与接口板是否松动；
(4)检查接口板上跳线是否正确；
(5)检查码盘是否工作正常——更换码盘；"
101,启动超速,启动时发电机过速,"(1)检查码盘与电机固定处是否有松动；
(2)检查码盘信号接口P16 与接口板是否松动；
(3)检查接口板上跳线是否正确；
(4)检查码盘是否工作正常——更换码盘；"
102,运行时电机欠速,运行时发电机欠速,"(1)变频器运行时如果检测到实际电机转速低于1050rpm产生此故障；
(2)检查码盘与电机固定处是否有松动；
(3)检查码盘信号接口P16 与接口板是否松动；
(4)检查接口板上跳线是否正确；
(5)检查码盘是否工作正常——更换码盘；"
103,运行超速,运行时发电机超速,"(1)检查实际电机转速是否过速；
(2)检查码盘与电机固定处是否有松动；
(3)检查码盘信号接口P16 与接口板是否松动；
(4)检查接口板上跳线是否正确；
(5)检查码盘是否工作正常——更换码盘；"
104,并网接触器异常断开,并网状态下，检测到并网接触器断开,"(1）确认定子接触器是否断开，检查定子接触器断开原因；
(2)确认定子接触器是否故障，检修定子接触器；
(3)确认定子接触器状态反馈线是否断开或未接好，插紧定子接触器状态线"
105,定子接触器吸合失败,定子接触器吸合动作不成功,"（1）确认定子接触器是否吸合，检查定子接触器不能吸合的原因；                            （2）确定定子接触器是否故障，如果损坏更换 
（3）确认定子接触器反馈线是否连接正确或松动；
（4）PM1000首次换成GT时，部分机组网侧接触器吸合后，变频器外接24Vdc供电中断，但变频器自身提供24V电源不稳定，导致无法驱动定子接触器。对于切换动作通过继电器K246.7实现的机组（图纸版本：017.0022.01E），需要断开网侧接触器-K340.4上反馈给从站PLCA250.3:27的44号端子接线。对于24V电源的切换动作通过网侧接触器-K340.4的常闭辅助触点21/22、41/42 完成的机组（其他图纸），需要将接触器-K340.4 的21、22短接，41、42短接。即：GT变频器在任何时候都需要外接24Vdc供电电源。"
106,并网接触器断开失败,并网接触器断开动作不成功,"（1）确认并网接触器是否闭合——检查并网接触器不能断开原因；
（2）确认并网接触器是否故障——检修并网接触器；
（3）确认并网接触器状态反馈线是否断开或未接好——插紧并网接触器状态线"
107,电网相序反,电网相序错误,"(1)确定电网相序是否接错——断电后调整电网输入相序为ABC；
(2)检查电网电压采样线是否接错——断电后调整电网采样线相序为ABC"
108,转子相序反,转子相序错误,检查转子功率连线相序――调整转子功率连线相序
109,定子电压错误,检测不到定子电压,"（1）检测P13B接线是否紧固
（2）检测定子侧8A保险是否烧坏"
110至112,保留,变频器不产生此故障代码,如果产生此故障，更新PLC程序
113,定子相序反,定子相序错误,检查定子功率连线相序――调整定子功率连线相序
114,同步失败,励磁期间，定子电压和电网电压同步失败,"(1)检查电网电压是否异常；
(2)检查电网电压采样线是否连接可靠；
(3)检查转子侧检测板是否工作正常——更换检测板；                                          (4)出以上原因之外还有以前查err159方法检测"
115,电网过压,电网合成电压超过保护值,"(1)发生故障时电网电压是否异常；
(2)检查电网电压采样线是否连接可靠；
(3)检查转子侧检测板是否工作正常——更换检测板；"
116,电网欠压,电网合成电压低于保护值,"(1)发生故障时电网电压是否异常；
(2)检查电网电压采样线是否连接可靠；
(3)检查转子侧检测板是否工作正常——更换检测板；"
117,电网过频,电网频率超出系统设定的过频点,"(1)确定是否电网频率过高——电网频率过高时系统停机保护；
(2)更换检测板"
118,电网欠频,电网频率低于系统设定的过频点,"(1)确定是否电网频率过低——电网频率过低时系统停机保护；
(2)更换检测板"
119,水冷主控通讯错误,机侧与主控通讯异常,"（1）检查机侧变频器与canspider的通讯光纤是否正确连接；
（2）检查主站PLC的can接口是否工作正常；
（3）如果是更新PLC程序所致，则断电1分钟后重启即可；"
120,EEPROM 读写错误,EEPROM 读写错误,通过固化默认参数将参数恢复到默认设置，然后清除故障，如果故障可以被清除，则EEPROM 硬件芯片本身没有问题，用户只需要再次设置参数到特定值即可，否则需要更换控制板
121,驱动板连接错误,"信号处理板与功率模块的排
线连接有问题","（1）如果是被动式crowbar，确认主动crowbar接口已经短接；
（2）检查主动crowbar是否正确连接并通电
（3）检查DSP板和功率模块之间排线是否松动或损坏
（4）运行时产生此故障，用国通后台软件观察crowbar电阻电压是否有毛刺，为干扰造成，做花线屏蔽线                                                        "
122,AD 零漂过大,ADC 模拟采样通道零漂过,"(1)检查是否有电流采样或电压采样线松动——插紧电流和电压检测线；
（2）如果仍然不能消除，更换检测板"
123至128,保留,变频器不产生此故障代码,如果产生此故障，更新PLC程序
129,定子A相过流,定子A 相电流超过保护值,"(1)检查定子电流是否发生过过流；
(2)检查定子电流检测线是否连接可靠，对地是否存在漏电现象；
(3)检查定子电流功率电缆是否连接可靠；
(4)检查检测板是否工作正常——更换检测板；"
130,定子B相过流,定子B相电流超过保护值,"(1)检查定子电流是否发生过过流；
(2)检查定子电流检测线是否连接可靠，对地是否存在漏电现象；
(3)检查定子电流功率电缆是否连接可靠；
(4)检查检测板是否工作正常——更换检测板；"
131,定子C相过流,定子C相电流超过保护值,"(1)检查定子电流是否发生过过流；
(2)检查定子电流检测线是否连接可靠，对地是否存在漏电现象；
(3)检查定子电流功率电缆是否连接可靠；
(4)检查检测板是否工作正常——更换检测板；"
132,转子A相过流,转子A相电流有效值过流,"(1)检查转子电流是否发生过过流；
(2)检查转子功率线是否连接可靠，对地是否存在漏电现象；
(3)检查转子电流采样线是否连接可靠——插紧采样线；
(4)检查转子侧检测板和驱动板间的驱动电缆是否连接可靠——插紧驱动线；
(5)检查转子侧检测板上的电流采样部分的跳线是否在正确位置；
(6)检查转子侧检测板是否正常工作——更换检测板；"
133,转子B相过流,转子B相电流有效值过流,"(1)检查转子电流是否发生过过流；
(2)检查转子功率线是否连接可靠，对地是否存在漏电现象；
(3)检查转子电流采样线是否连接可靠——插紧采样线；
(4)检查转子侧检测板和驱动板间的驱动电缆是否连接可靠——插紧驱动线；
(5)检查转子侧检测板上的电流采样部分的跳线是否在正确位置；
(6)检查转子侧检测板是否正常工作——更换检测板；"
134,转子C相过流,转子C相电流有效值过流,"(1)检查转子电流是否发生过过流；
(2)检查转子功率线是否连接可靠，对地是否存在漏电现象；
(3)检查转子电流采样线是否连接可靠——插紧采样线；
(4)检查转子侧检测板和驱动板间的驱动电缆是否连接可靠——插紧驱动线；
(5)检查转子侧检测板上的电流采样部分的跳线是否在正确位置；
(6)检查转子侧检测板是否正常工作——更换检测板；"
135,电网AB线电压过压,电网AB 线电压超过系统设定的过压点,"(1)确认电网是否过压——电网过压时系统需要停机保护；
(2)确认电网过压保护点是否合适；
(3)检查电网电压检测线是否松动或异常——插紧检测线；                                     （4）如果上述原因都不是更换检测板"
136,电网BC线电压过压,电网BC 线电压超过系统设定的过压点,"(1)确认电网是否过压——电网过压时系统需要停机保护；
(2)确认电网过压保护点是否合适；
(3)检查电网电压检测线是否松动或异常——插紧检测线；                                     （4）如果上述原因都不是更换检测板"
137,电网CA线电压过压,电网CA线电压超过系统设定的过压点,"(1)确认电网是否过压——电网过压时系统需要停机保护；
(2)确认电网过压保护点是否合适；
(3)检查电网电压检测线是否松动或异常——插紧检测线；                                     （4）如果上述原因都不是更换检测板"
138,电网AB 线电压欠压,电网AB 线电压低于系统设定的欠压点,"(1)确认电网是否欠压——电网欠压时系统需要停机保护；
(2)确认电网欠压保护点是否合适；
(3)检查电网电压检测线是否松动或异常——插紧检测线；"
139,电网BC 线电压欠压,电网BC线电压低于系统设定的欠压点,"(1)确认电网是否欠压——电网欠压时系统需要停机保护；
(2)确认电网欠压保护点是否合适；
(3)检查电网电压检测线是否松动或异常——插紧检测线；"
140,电网CA 线电压欠压,电网CA线电压低于系统设定的欠压点,"(1)确认电网是否欠压——电网欠压时系统需要停机保护；
(2)确认电网欠压保护点是否合适；
(3)检查电网电压检测线是否松动或异常——插紧检测线；"
141至145,保留,变频器不产生此故障代码,如果产生此故障，更新PLC程序
146,历史故障存储失败,控制板历史故障存储发生错误,更换DSP板
147,CPLD版本不匹配,CPLD与DSP的版本不匹配,更换DSP板
148,DSP通讯协议不匹配,DSP之间通讯协议不匹配,确认机侧和网侧通讯光纤连接正确
149,电网电压跌落超限,电网电压跌落的幅度或不平衡度超过设定值,低电压穿越时，电网电压跌落超过允许限度，合适电网电压跌落情况
150,crowbar电阻开路,crowbar电阻断路,"（1）确认crowbar电阻是否烧断
（2）确认电阻连线是否连接可靠"
151,主动crowbar动作超时,"LVRT 过程中，Crowbar 动作
持续时间超过设定值",确认电网发生低压故障时，低压持续时间超出限制；
152,主动crowbar动作次数超时,"LVRT 过程中，Crowbar 动作
持续次数超过设定值",确认电网是否频繁发生低压故障
153,DSP通讯错误,网侧变频器和机侧变频器不能正常通讯,确认网侧变频器和机侧变频器之间通讯线是否连接好
154-160,保留,变频器不产生此故障代码,如果产生此故障，更新PLC程序
