id,source,target,type,weight,evidence,properties
"causal_factor:e593508be6ec->CAN_TRIGGER->mechanism:converter-control-communication-loss","causal_factor:e593508be6ec","mechanism:converter-control-communication-loss","CAN_TRIGGER","1","[""变流器控制板或通信链路中断""]","{""evidence"":""变流器控制板或通信链路中断""}"
"causal_factor:33f2b6a79e1b->CAN_TRIGGER->mechanism:converter-control-communication-loss","causal_factor:33f2b6a79e1b","mechanism:converter-control-communication-loss","CAN_TRIGGER","1","[""变流器控制板或通信链路中断""]","{""evidence"":""变流器控制板或通信链路中断""}"
"causal_factor:32705cce4023->CAN_TRIGGER->mechanism:converter-control-communication-loss","causal_factor:32705cce4023","mechanism:converter-control-communication-loss","CAN_TRIGGER","1","[""变流器控制板或通信链路中断""]","{""evidence"":""变流器控制板或通信链路中断""}"
"causal_factor:f6738f03fcd2->CAN_TRIGGER->mechanism:converter-control-communication-loss","causal_factor:f6738f03fcd2","mechanism:converter-control-communication-loss","CAN_TRIGGER","1","[""变流器控制板或通信链路中断""]","{""evidence"":""变流器控制板或通信链路中断""}"
"causal_factor:bb24438529fe->CAN_TRIGGER->mechanism:generator-bearing-thermal-lubrication","causal_factor:bb24438529fe","mechanism:generator-bearing-thermal-lubrication","CAN_TRIGGER","1","[""发电机轴承热-润滑-对中失效""]","{""evidence"":""发电机轴承热-润滑-对中失效""}"
"causal_factor:8c8507f116b2->CAN_TRIGGER->mechanism:generator-bearing-thermal-lubrication","causal_factor:8c8507f116b2","mechanism:generator-bearing-thermal-lubrication","CAN_TRIGGER","1","[""发电机轴承热-润滑-对中失效""]","{""evidence"":""发电机轴承热-润滑-对中失效""}"
"causal_factor:153df5115947->CAN_TRIGGER->mechanism:generator-bearing-thermal-lubrication","causal_factor:153df5115947","mechanism:generator-bearing-thermal-lubrication","CAN_TRIGGER","1","[""发电机轴承热-润滑-对中失效""]","{""evidence"":""发电机轴承热-润滑-对中失效""}"
"causal_factor:ee7e36efaa94->CAN_TRIGGER->mechanism:generator-bearing-thermal-lubrication","causal_factor:ee7e36efaa94","mechanism:generator-bearing-thermal-lubrication","CAN_TRIGGER","1","[""发电机轴承热-润滑-对中失效""]","{""evidence"":""发电机轴承热-润滑-对中失效""}"
"causal_factor:481f41e56155->CAN_TRIGGER->mechanism:generator-bearing-thermal-lubrication","causal_factor:481f41e56155","mechanism:generator-bearing-thermal-lubrication","CAN_TRIGGER","1","[""发电机轴承热-润滑-对中失效""]","{""evidence"":""发电机轴承热-润滑-对中失效""}"
"causal_factor:8220dae7e8fd->CAN_TRIGGER->mechanism:gearbox-bearing-gear-wear","causal_factor:8220dae7e8fd","mechanism:gearbox-bearing-gear-wear","CAN_TRIGGER","1","[""齿轮箱轴承或齿轮磨损导致振动与温升""]","{""evidence"":""齿轮箱轴承或齿轮磨损导致振动与温升""}"
"causal_factor:4431cc728921->CAN_TRIGGER->mechanism:gearbox-bearing-gear-wear","causal_factor:4431cc728921","mechanism:gearbox-bearing-gear-wear","CAN_TRIGGER","1","[""齿轮箱轴承或齿轮磨损导致振动与温升""]","{""evidence"":""齿轮箱轴承或齿轮磨损导致振动与温升""}"
"causal_factor:89d09c55da37->CAN_TRIGGER->mechanism:gearbox-bearing-gear-wear","causal_factor:89d09c55da37","mechanism:gearbox-bearing-gear-wear","CAN_TRIGGER","1","[""齿轮箱轴承或齿轮磨损导致振动与温升""]","{""evidence"":""齿轮箱轴承或齿轮磨损导致振动与温升""}"
"causal_factor:fd0bb1201bf8->CAN_TRIGGER->mechanism:gearbox-bearing-gear-wear","causal_factor:fd0bb1201bf8","mechanism:gearbox-bearing-gear-wear","CAN_TRIGGER","1","[""齿轮箱轴承或齿轮磨损导致振动与温升""]","{""evidence"":""齿轮箱轴承或齿轮磨损导致振动与温升""}"
"causal_factor:5c0b4ebbb4c2->CAN_TRIGGER->mechanism:gearbox-bearing-gear-wear","causal_factor:5c0b4ebbb4c2","mechanism:gearbox-bearing-gear-wear","CAN_TRIGGER","1","[""齿轮箱轴承或齿轮磨损导致振动与温升""]","{""evidence"":""齿轮箱轴承或齿轮磨损导致振动与温升""}"
"causal_factor:1e023acecb6b->CAN_TRIGGER->mechanism:yaw-drive-brake-limit","causal_factor:1e023acecb6b","mechanism:yaw-drive-brake-limit","CAN_TRIGGER","1","[""偏航驱动、制动或限位链路异常""]","{""evidence"":""偏航驱动、制动或限位链路异常""}"
"causal_factor:3c3f193584b1->CAN_TRIGGER->mechanism:yaw-drive-brake-limit","causal_factor:3c3f193584b1","mechanism:yaw-drive-brake-limit","CAN_TRIGGER","1","[""偏航驱动、制动或限位链路异常""]","{""evidence"":""偏航驱动、制动或限位链路异常""}"
"causal_factor:dd94d75c197f->CAN_TRIGGER->mechanism:yaw-drive-brake-limit","causal_factor:dd94d75c197f","mechanism:yaw-drive-brake-limit","CAN_TRIGGER","1","[""偏航驱动、制动或限位链路异常""]","{""evidence"":""偏航驱动、制动或限位链路异常""}"
"causal_factor:11ea929298a8->CAN_TRIGGER->mechanism:yaw-drive-brake-limit","causal_factor:11ea929298a8","mechanism:yaw-drive-brake-limit","CAN_TRIGGER","1","[""偏航驱动、制动或限位链路异常""]","{""evidence"":""偏航驱动、制动或限位链路异常""}"
"causal_factor:294bbd73a82f->CAN_TRIGGER->mechanism:yaw-drive-brake-limit","causal_factor:294bbd73a82f","mechanism:yaw-drive-brake-limit","CAN_TRIGGER","1","[""偏航驱动、制动或限位链路异常""]","{""evidence"":""偏航驱动、制动或限位链路异常""}"
"causal_factor:56c921529d5e->CAN_TRIGGER->mechanism:thermal-management-sensor-chain","causal_factor:56c921529d5e","mechanism:thermal-management-sensor-chain","CAN_TRIGGER","1","[""控制柜或机舱热管理与温度传感链异常""]","{""evidence"":""控制柜或机舱热管理与温度传感链异常""}"
"causal_factor:f24899137410->CAN_TRIGGER->mechanism:thermal-management-sensor-chain","causal_factor:f24899137410","mechanism:thermal-management-sensor-chain","CAN_TRIGGER","1","[""控制柜或机舱热管理与温度传感链异常""]","{""evidence"":""控制柜或机舱热管理与温度传感链异常""}"
"causal_factor:e49384adcac0->CAN_TRIGGER->mechanism:thermal-management-sensor-chain","causal_factor:e49384adcac0","mechanism:thermal-management-sensor-chain","CAN_TRIGGER","1","[""控制柜或机舱热管理与温度传感链异常""]","{""evidence"":""控制柜或机舱热管理与温度传感链异常""}"
"causal_factor:919b8bc900a3->CAN_TRIGGER->mechanism:thermal-management-sensor-chain","causal_factor:919b8bc900a3","mechanism:thermal-management-sensor-chain","CAN_TRIGGER","1","[""控制柜或机舱热管理与温度传感链异常""]","{""evidence"":""控制柜或机舱热管理与温度传感链异常""}"
"causal_factor:3a729b2999b2->CAN_TRIGGER->mechanism:thermal-management-sensor-chain","causal_factor:3a729b2999b2","mechanism:thermal-management-sensor-chain","CAN_TRIGGER","1","[""控制柜或机舱热管理与温度传感链异常""]","{""evidence"":""控制柜或机舱热管理与温度传感链异常""}"
"causal_factor:3a729b2999b2->CAN_TRIGGER->mechanism:plc-io-feedback-chain","causal_factor:3a729b2999b2","mechanism:plc-io-feedback-chain","CAN_TRIGGER","1","[""PLC输入输出反馈链路异常""]","{""evidence"":""PLC输入输出反馈链路异常""}"
"causal_factor:7b21acb83d2b->CAN_TRIGGER->mechanism:plc-io-feedback-chain","causal_factor:7b21acb83d2b","mechanism:plc-io-feedback-chain","CAN_TRIGGER","1","[""PLC输入输出反馈链路异常""]","{""evidence"":""PLC输入输出反馈链路异常""}"
"causal_factor:163cfbd7f713->CAN_TRIGGER->mechanism:plc-io-feedback-chain","causal_factor:163cfbd7f713","mechanism:plc-io-feedback-chain","CAN_TRIGGER","1","[""PLC输入输出反馈链路异常""]","{""evidence"":""PLC输入输出反馈链路异常""}"
"causal_factor:4588757d6114->CAN_TRIGGER->mechanism:plc-io-feedback-chain","causal_factor:4588757d6114","mechanism:plc-io-feedback-chain","CAN_TRIGGER","1","[""PLC输入输出反馈链路异常""]","{""evidence"":""PLC输入输出反馈链路异常""}"
"causal_factor:276841a8ca66->CAN_TRIGGER->mechanism:plc-io-feedback-chain","causal_factor:276841a8ca66","mechanism:plc-io-feedback-chain","CAN_TRIGGER","1","[""PLC输入输出反馈链路异常""]","{""evidence"":""PLC输入输出反馈链路异常""}"
"causal_factor:1c528e35094f->CAN_TRIGGER->mechanism:rotor-blade-imbalance-damage","causal_factor:1c528e35094f","mechanism:rotor-blade-imbalance-damage","CAN_TRIGGER","1","[""叶片不平衡、结冰或结构损伤引发载荷异常""]","{""evidence"":""叶片不平衡、结冰或结构损伤引发载荷异常""}"
"causal_factor:14c77358ca87->CAN_TRIGGER->mechanism:rotor-blade-imbalance-damage","causal_factor:14c77358ca87","mechanism:rotor-blade-imbalance-damage","CAN_TRIGGER","1","[""叶片不平衡、结冰或结构损伤引发载荷异常""]","{""evidence"":""叶片不平衡、结冰或结构损伤引发载荷异常""}"
"causal_factor:ce7adbd8526b->CAN_TRIGGER->mechanism:rotor-blade-imbalance-damage","causal_factor:ce7adbd8526b","mechanism:rotor-blade-imbalance-damage","CAN_TRIGGER","1","[""叶片不平衡、结冰或结构损伤引发载荷异常""]","{""evidence"":""叶片不平衡、结冰或结构损伤引发载荷异常""}"
"causal_factor:0d5f0fd62760->CAN_TRIGGER->mechanism:rotor-blade-imbalance-damage","causal_factor:0d5f0fd62760","mechanism:rotor-blade-imbalance-damage","CAN_TRIGGER","1","[""叶片不平衡、结冰或结构损伤引发载荷异常""]","{""evidence"":""叶片不平衡、结冰或结构损伤引发载荷异常""}"
"causal_factor:d226517d9f1d->CAN_TRIGGER->mechanism:rotor-blade-imbalance-damage","causal_factor:d226517d9f1d","mechanism:rotor-blade-imbalance-damage","CAN_TRIGGER","1","[""叶片不平衡、结冰或结构损伤引发载荷异常""]","{""evidence"":""叶片不平衡、结冰或结构损伤引发载荷异常""}"
"causal_factor:9a559e6713a0->CAN_TRIGGER->mechanism:safety-chain-emergency-stop","causal_factor:9a559e6713a0","mechanism:safety-chain-emergency-stop","CAN_TRIGGER","1","[""安全链或急停保护链断开""]","{""evidence"":""安全链或急停保护链断开""}"
"causal_factor:0039d7ed0e30->CAN_TRIGGER->mechanism:safety-chain-emergency-stop","causal_factor:0039d7ed0e30","mechanism:safety-chain-emergency-stop","CAN_TRIGGER","1","[""安全链或急停保护链断开""]","{""evidence"":""安全链或急停保护链断开""}"
"causal_factor:f1e49c033db3->CAN_TRIGGER->mechanism:safety-chain-emergency-stop","causal_factor:f1e49c033db3","mechanism:safety-chain-emergency-stop","CAN_TRIGGER","1","[""安全链或急停保护链断开""]","{""evidence"":""安全链或急停保护链断开""}"
"causal_factor:52a2851be686->CAN_TRIGGER->mechanism:safety-chain-emergency-stop","causal_factor:52a2851be686","mechanism:safety-chain-emergency-stop","CAN_TRIGGER","1","[""安全链或急停保护链断开""]","{""evidence"":""安全链或急停保护链断开""}"
"causal_factor:7272bdc3dca1->CAN_TRIGGER->mechanism:safety-chain-emergency-stop","causal_factor:7272bdc3dca1","mechanism:safety-chain-emergency-stop","CAN_TRIGGER","1","[""安全链或急停保护链断开""]","{""evidence"":""安全链或急停保护链断开""}"
"causal_factor:3640e310a2e8->CAN_TRIGGER->mechanism:main-shaft-bearing-lubrication-load","causal_factor:3640e310a2e8","mechanism:main-shaft-bearing-lubrication-load","CAN_TRIGGER","1","[""主轴轴承润滑、载荷或密封失效""]","{""evidence"":""主轴轴承润滑、载荷或密封失效""}"
"causal_factor:0d012a40f1d6->CAN_TRIGGER->mechanism:main-shaft-bearing-lubrication-load","causal_factor:0d012a40f1d6","mechanism:main-shaft-bearing-lubrication-load","CAN_TRIGGER","1","[""主轴轴承润滑、载荷或密封失效""]","{""evidence"":""主轴轴承润滑、载荷或密封失效""}"
"causal_factor:8c5787a5fe56->CAN_TRIGGER->mechanism:main-shaft-bearing-lubrication-load","causal_factor:8c5787a5fe56","mechanism:main-shaft-bearing-lubrication-load","CAN_TRIGGER","1","[""主轴轴承润滑、载荷或密封失效""]","{""evidence"":""主轴轴承润滑、载荷或密封失效""}"
"causal_factor:a0a56e754eab->CAN_TRIGGER->mechanism:main-shaft-bearing-lubrication-load","causal_factor:a0a56e754eab","mechanism:main-shaft-bearing-lubrication-load","CAN_TRIGGER","1","[""主轴轴承润滑、载荷或密封失效""]","{""evidence"":""主轴轴承润滑、载荷或密封失效""}"
"causal_factor:54ebd27fc656->CAN_TRIGGER->mechanism:main-shaft-bearing-lubrication-load","causal_factor:54ebd27fc656","mechanism:main-shaft-bearing-lubrication-load","CAN_TRIGGER","1","[""主轴轴承润滑、载荷或密封失效""]","{""evidence"":""主轴轴承润滑、载荷或密封失效""}"
"causal_factor:617d3d2b0bff->CAN_TRIGGER->mechanism:mechanical-brake-pressure-friction","causal_factor:617d3d2b0bff","mechanism:mechanical-brake-pressure-friction","CAN_TRIGGER","1","[""机械制动压力、摩擦片或反馈异常""]","{""evidence"":""机械制动压力、摩擦片或反馈异常""}"
"causal_factor:d59ccecc0dd0->CAN_TRIGGER->mechanism:mechanical-brake-pressure-friction","causal_factor:d59ccecc0dd0","mechanism:mechanical-brake-pressure-friction","CAN_TRIGGER","1","[""机械制动压力、摩擦片或反馈异常""]","{""evidence"":""机械制动压力、摩擦片或反馈异常""}"
"causal_factor:3c3f193584b1->CAN_TRIGGER->mechanism:mechanical-brake-pressure-friction","causal_factor:3c3f193584b1","mechanism:mechanical-brake-pressure-friction","CAN_TRIGGER","1","[""机械制动压力、摩擦片或反馈异常""]","{""evidence"":""机械制动压力、摩擦片或反馈异常""}"
"causal_factor:441b498744cb->CAN_TRIGGER->mechanism:mechanical-brake-pressure-friction","causal_factor:441b498744cb","mechanism:mechanical-brake-pressure-friction","CAN_TRIGGER","1","[""机械制动压力、摩擦片或反馈异常""]","{""evidence"":""机械制动压力、摩擦片或反馈异常""}"
"causal_factor:dea160f1c178->CAN_TRIGGER->mechanism:mechanical-brake-pressure-friction","causal_factor:dea160f1c178","mechanism:mechanical-brake-pressure-friction","CAN_TRIGGER","1","[""机械制动压力、摩擦片或反馈异常""]","{""evidence"":""机械制动压力、摩擦片或反馈异常""}"
"causal_factor:0f41c9a6d636->CAN_TRIGGER->mechanism:hydraulic-station-pump-accumulator-valve","causal_factor:0f41c9a6d636","mechanism:hydraulic-station-pump-accumulator-valve","CAN_TRIGGER","1","[""液压站泵源、蓄能器或阀组异常""]","{""evidence"":""液压站泵源、蓄能器或阀组异常""}"
"causal_factor:899709b342e6->CAN_TRIGGER->mechanism:hydraulic-station-pump-accumulator-valve","causal_factor:899709b342e6","mechanism:hydraulic-station-pump-accumulator-valve","CAN_TRIGGER","1","[""液压站泵源、蓄能器或阀组异常""]","{""evidence"":""液压站泵源、蓄能器或阀组异常""}"
"causal_factor:e86d6e628205->CAN_TRIGGER->mechanism:hydraulic-station-pump-accumulator-valve","causal_factor:e86d6e628205","mechanism:hydraulic-station-pump-accumulator-valve","CAN_TRIGGER","1","[""液压站泵源、蓄能器或阀组异常""]","{""evidence"":""液压站泵源、蓄能器或阀组异常""}"
"causal_factor:c77efcc14f2f->CAN_TRIGGER->mechanism:hydraulic-station-pump-accumulator-valve","causal_factor:c77efcc14f2f","mechanism:hydraulic-station-pump-accumulator-valve","CAN_TRIGGER","1","[""液压站泵源、蓄能器或阀组异常""]","{""evidence"":""液压站泵源、蓄能器或阀组异常""}"
"causal_factor:1b8219ca035b->CAN_TRIGGER->mechanism:hydraulic-station-pump-accumulator-valve","causal_factor:1b8219ca035b","mechanism:hydraulic-station-pump-accumulator-valve","CAN_TRIGGER","1","[""液压站泵源、蓄能器或阀组异常""]","{""evidence"":""液压站泵源、蓄能器或阀组异常""}"
