故障代码,描述,触发延时,刹车等级,偏航等级,复位模式,故障逻辑,检查
SC02_08_014,发电机定子U相绕组温度低于过低设定值,1min,0,0,A,发电机定子U相线圈温度(1分钟平均值)低于设定值(-25℃),1.检查环境温度是否真实过低2.检查PT100传感器是否正常3.检查发电机加热器是否正常工作
SC02_08_015,发电机定子U相绕组温度高于上限值,1min,51,0,A,发电机定子U相线圈1分钟平均温度超出上限值(150℃),1.检查发电机冷却风扇电机是否正常运行2.检查模块至发电机接线盒段接线有无松动3.检查PT100传感器是否正常
SC02_08_016,发电机定子U相绕组温度低于下限值,1min,50,0,A,发电机定子U相线圈1分钟平均温度超出下限值(-30℃),1.检查环境温度是否真实过低2.检查PT100传感器是否正常3.检查发电机加热器是否正常工作
SC02_08_017,发电机定子V相绕组温度高于过高设定值,1min,0,0,A,发电机定子V相线圈温度(1分钟平均值)高于设定值(130℃),1.检查发电机冷却风扇电机是否正常运行2.检查模块至发电机接线盒段接线有无松动3.检查PT100传感器是否正常
SC02_08_018,发电机定子V相绕组温度低于过低设定值,1min,0,0,A,发电机定子V相线圈温度(1分钟平均值)低于设定值(-25℃),1.检查环境温度是否真实过低2.检查PT100传感器是否正常3.检查发电机加热器是否正常工作
SC02_08_019,发电机定子V相绕组温度高于上限值,1min,51,0,A,发电机定子V相线圈1分钟平均温度超出上限值(150℃),1.检查发电机冷却风扇电机是否正常运行2.检查模块至发电机接线盒段接线有无松动3.检查PT100传感器是否正常
SC02_08_020,发电机定子V相绕组温度低于下限值,1min,50,0,A,发电机定子V相线圈1分钟平均温度超出下限值(-30℃),1.检查环境温度是否真实过低2.检查PT100传感器是否正常3.检查发电机加热器是否正常工作
SC02_08_021,发电机定子W相绕组温度高于过高设定值,1min,0,0,A,发电机定子W相线圈温度(1分钟平均值)高于设定值(130℃),1.检查发电机冷却风扇电机是否正常运行2.检查模块至发电机接线盒段接线有无松动3.检查PT100传感器是否正常
SC02_08_022,发电机定子W相绕组温度高于上限值,1min,0,0,A,发电机定子W相线圈温度(1分钟平均值)低于设定值(-25℃),1.检查环境温度是否真实过低2.检查PT100传感器是否正常3.检查发电机加热器是否正常工作
SC02_08_023,发电机定子W相绕组温度高于上限值,1min,51,0,A,发电机定子W相线圈1分钟平均温度超出上限值(150℃),1.检查发电机冷却风扇电机是否正常运行2.检查模块至发电机接线盒段接线有无松动3.检查PT100传感器是否正常
SC02_08_024,发电机定子W相绕组温度低于下限值,1min,50,0,A,发电机定子W相线圈1分钟平均温度超出下限值(-30℃),1.检查环境温度是否真实过低2.检查PT100传感器是否正常3.检查发电机加热器是否正常工作
SC02_08_025,发电机定子绕组温度高于过高设定值或低于过低设定值故障重复出现,1min,51,0,M,发电机定子绕组温度高于过高设定值或低于过低设定值故障重复出现,1.检查发电机冷却风扇电机是否正常运行2.检查模块至发电机接线盒段接线有无松动3.检查PT100传感器是否正常
SC02_08_026,发电机驱动端轴承温度高于过高设定值,1min,0,0,A,发电机驱动端轴承1分钟平均温度高于设定值(85℃),"1.检查模块至发电机接线盒段接线有无松动2.检查PT100传感器是否正常3.检查轴承室油脂量是否合适,适当加油观察挤出废油是否清洁4.震动测试仪检查轴承是否存在机械损伤"
SC02_08_027,发电机驱动端轴承温度低于过低设定值,1min,0,0,A,发电机驱动端轴承1分钟平均温度低于设定值(-25℃),1.检查环境温度是否真实过低2.检查PT100传感器是否正常
SC02_08_028,发电机驱动端轴承温度高于上限值,1min,51,0,A,发电机驱动端轴承1分钟平均温度超出上限值(90℃),参照 SC02_08_026
SC02_08_029,发电机驱动端轴承温度低于下限值,1min,50,0,A,发电机驱动端轴承1分钟平均温度低于下限值(-30℃),参照 SC02_08_027
SC02_08_030,发电机非驱动端轴承温度高于过高设定值,1min,0,0,A,发电机非驱动端轴承1分钟平均温度高于设定值(85℃),参照 SC02_08_026
SC02_08_031,发电机非驱动端轴承温度低于过低设定值,1min,0,0,A,发电机非驱动端轴承1分钟平均温度低于设定值(-25℃),参照 SC02_08_027
SC02_08_032,发电机非驱动端轴承温度超出上限值,1min,51,0,A,发电机非驱动端轴承1分钟平均温度超出上限值(90℃),参照 SC02_08_026
SC02_08_033,发电机非驱动端轴承温度低于下限值,1min,50,0,A,发电机非驱动端轴承1分钟平均温度超出下限值(-30℃),参照 SC02_08_027
SC02_08_034,发电机轴承温度高于过高设定值或低于过低设定值故障重复出现,1min,51,0,M,发电机轴承温度过高或过低故障重复出现,"1. 检查模块至发电机接线盒段接线有无松动2. 检查PT100传感器是否正常3. 检查轴承室油脂量是否合适,适当加油观察挤出废油是否清洁4. 震动测试仪检查轴承是否存在机械损伤"
SC02_08_035,发电机冷却系统入口或出口温度高于过高设定值,1min,0,0,A,发电机冷却系统入口或出口1分钟平均温度高于设定值,"1. 检查173AI1模块的4口到发电机接线盒接线是否松动2. 检查PT100阻值是否正常,模块功能是否正常"
SC02_08_036,发电机冷却系统入口或出口温度低于过低设定值,1min,0,0,A,发电机冷却系统入口或出口1分钟平均温度低于设定值,1.检查环境温度是否真实过低2.检查PT100传感器是否正常
SC02_08_037,发电机冷却系统入口或出口温度超出上限值,1min,51,0,A,发电机冷却系统入口或出口1分钟平均温度超出上限值,"1.检查173AI1模块的4口到发电机接线盒接线是否松动2.检查PT100阻值是否正常,模块功能是否正常"
SC02_08_038,发电机冷却系统入口或出口温度超出下限值,0s,50,0,A,发电机冷却系统入口或出口1分钟平均温度低于下限值,1.检查环境温度是否真实过低2.检查PT100传感器是否正常
SC02_08_039,发电机冷却系统入口或出口温度高于过高设定值或低于过低设定值故障重复出现,1min,51,0,M,发电机冷却系统入口或出口温度高于过高设定值或低于过低设定值故障重复出现,"参照 SC02_08_035, SC02_08_036"
SC02_08_100,发电机定子温度低于露点温度,12h,51,0,A,"风机未并网并且发电机定子U,V或W温度低于露点温度(-5℃)。发电机定子温度低于机舱温度加一个滞环温度参数(2℃)","1.检查环境温度是否真实过低2.检查PT100传感器是否正常3.检查发电机加热系统,加热器是否正常工作"
SC03_02_002,变频柜230VUPS警告,T#60s,51,0,M,,未启用
SC03_02_006,"塔底柜690V,400V或变频柜主电源防雷器故障",5s,0,0,A,18DI1的2口没有24V信号或41DI5的7口没有24V信号,"1.检查18DI1至防雷器(11FA2,11FA3,11FA4)接线有无松动,检查防雷器是否损坏2.检查41DI5至变频器防雷器1FA2接线有无松动,检查防雷器是否损坏"
SC03_04_016,"空转状态下电网电压突降,触发LVRT模式",0s,0,100,A,"空转状态下电网电压突降至LVRT电压,风机进行LVRT模式",1、属风机信息在电网电压不正常时发生
SC03_04_017,LVRT模式下电网电压超限,0s,0,100,A,"风机进入LVRT模式后,电网电压超出LVRT标准要求",1、属风机信息在电网电压不正常时发生
SC03_05_001,变频器没有做好运行准备,20s,50,0,A,"发电机转速高于1100转/分,且有变频器没有做好运行准备的信号。","1.录播观察电网电压是否正常,更换机侧电压模拟板测试2.检查ALSPA软件励磁界面是否恢复为CAN通讯模式"
SC03_05_002,变频器没有做好运行准备的故障重复出现,0s,50,0,A,1小时内变频器没有做好运行准备故障重复出现3次,参照 SC03_05_001
SC03_05_003,变频器接入电网时间过长,20s,50,0,A,"""LoadRequirement""命令为真,变频器没有信号过来。",更换机侧模拟量采样板测试
SC03_05_004,变频器接入电网时间过长故障重复出现,0s,50,0,M,1小时内变频器接入电网时间过长故障重复出现3次,更换机侧模拟量采样板测试
SC03_05_005,变频器多种警告,0s,100,0,M,"变频器不处于暖机模式,且从变频器过来的""SumInfoAlarm""信号变true","采用ALSPA软件连接变频器,查看分别查看机侧变量7002,7003与网侧变量7002,7003.根据被置1的位数解析变频器的故障点。再根据变频器故障手册进行检修"
SC03_05_010,变频器多种警告故障重复出现,0s,100,0,M,1小时内变频器多种警告故障重复出现3次,参照 SC03_05_005
SC03_05_027,断路器断开,50ms,100,0,A,"来自于变频器的""CircuitBrakerTripped""信号变为TRUE或41DI5的6通道为0。","1.检查变频器70KA8的是否真实得电,如果得电,检查主断路器是否过流跳闸2.如果70KA8未吸合,检查模块至变频器接线是否松动"
SC03_05_050,接入电网动作过于频繁,60s,0,0,M,在20分钟内切入动作大于或等于5次。,"极端风况,风速抖动过大,可复位起机;故障频繁复现,咨询远景"
SC03_06_014,与变频器CAN通讯故障,15ms,100,0,M,"变频器不处于暖机模式,且与变频器CAN通讯有故障或有效数据位是FALSE","检查CAN通讯模块状态是否正常,故障是否可复位检查CAN通讯线两端屏蔽层接地是否良好"
SC03_06_015,变频器CAN通讯故障重复出现,50ms,100,0,M,60秒内变频器CAN通信故障重复出现超过3次,参照 SC03_06_014
SC03_09_113,主断路器自检失败,0s,51,0,M,变频器主断路器自检失败,"按下塔底柜上的急停按钮,观察变频器主断路器是否立即跳闸"
