故障代码,描述,触发延时,刹车等级,偏航等级,复位模式,故障逻辑,检查
SC02_08_008,外部设备检测到发电机功率高于过高设定值,0s,150,0,M,功率检测设备检测到100ms功率大于设定值2600KW,1.对比变频器自测功率确认是否真实过功率2.如过高检查UMG103、电流互感器及其接线
SC02_08_009,外部设备测得发电机功率与变频器测得的差异大于设定值,0s,100,0,M,"变频器报告电网已经接入超过1min,且外部设备测得功率与自测功率差异大于上限值(150kW)。",1.对比变频器自测功率2.检查UMG103、电流互感器及其接线
SC02_13_003,变桨不对称控制,0s,50,0,A,"变桨不对称控制,状态检测",未启用
SC02_13_004,独立变桨控制系统故障,0s,50,0,A,"变桨不对称控制,状态检测",未启用
SC02_13_005,独立变桨控制系统标定故障,0s,0,0,A,"变桨不对称控制,状态检测",未启用
SC03_01_001,塔底柜急停按钮被拍下触发了紧急停机,0s,210,100,M,"塔底柜柜急停按钮被按下,46DI1输入口1信号为0",1.检查急停按钮触点到模块接线是否松动
SC03_01_003,塔底人工安全链没有反馈信号,T#120ms,100,100,M,41DI5输入口1信号为1,"1.检查35K2是否真实断开,如是检查断开回路是否存在断点2.如35K2未断开,检查41、42触点是否闭合"
SC03_01_005,塔底机器安全链没有反馈信号,T#120ms,100,100,M,41DI5输入口2信号为1,"1.检查38K1是否真实断开,如是检查断开回路是否存在断点2.如38K1未断开,检查41、42触点是否闭合"
SC03_02_001,塔底柜恒温器测得温度高于设定值,T#1m,51,100,A,"塔底柜温控器22S1检测到塔底柜温度低于2摄氏度,24DI1输入口3的信号为0","1.查看Scada中当前CT柜温度值,判断温度是否过低,如果过低检查CT柜加热器是否正常工作。2.如果温度非真实过低,检查22S1是否失效"
SC03_02_007,塔底柜400V电源熔断器故障,100ms,100,100,M,18DI1输入口1的信号为0,1.检查11F1中是否有熔丝熔断2.检查模块到熔断器辅助触点的接线
SC03_02_011,塔底柜加热器或散热风扇的230V电源保护空开跳开,100ms,0,0,A,24DI1输入口1的信号为0,"1.检查21F2或21F6是否跳开,若跳开检查散热风扇或加热器是否失效2.检查模块到21F2、21F6辅助触点的接线是否松动"
SC03_02_013,塔底柜安全链回路24V电源保护空开跳开,100ms,199,100,M,24DI1输入口7的信号为0,"1.检查14F4是否跳开,若跳开检查下路继电器有无短路2.检查模块到14F4辅助触点的接线是否松动"
SC03_02_015,塔底柜安全链24V电源开路,1s,100,0,M,41DI5输入口3的信号为0,"1.检查35K2是否断开,未断开检查37K7、37K821、24触点是否闭合良好2.检查14F6是否跳开,导通是否正常"
SC03_02_023,测量塔底温度的PT100传感器故障,5s,51,0,M,26AI1的2通道输入异常,"1.检查26AI1的2通道输入是否正常,模块是否正常2.检查PT100阻值是否正常"
SC03_02_024,塔底柜温度高于设定值,T#1m,0,0,A,塔底控制柜10分钟平均温度高于过高设定值(50℃)。,1.检查模块至PT100接线是否松动2.检查机舱柜散热风扇是否正常工作3.检查22S5温控器是否正常工作
SC03_02_025,塔底控制柜温度过低,T#1m,0,0,A,塔底控制柜10分钟平均温度低于过低设定值(0℃)。,1.检查22S5温控器是否正常工作2.检查机舱柜加热器是否正常工作
SC03_02_026,塔底控制柜温度超出上限值,0s,51,0,A,塔底控制柜10分钟平均温度高于上限值(55℃)。,1.检查模块至PT100接线是否松动2.检查机舱柜散热风扇是否正常工作3.检查22S5温控器是否正常工作
SC03_02_027,塔底控制柜温度超出下限值,0s,50,0,A,塔底控制柜10分钟平均温度低于下限值(-3℃)。,1.检查22S5温控器是否正常工作2.检查机舱柜加热器是否正常工作
SC03_02_028,塔底控制柜温度过高过低故障重复出现,T#1m,51,0,A,塔底控制柜温度过高过低故障重复出现次数大于设定值(24小时3次)。,"参照 SC03_02_024, SC03_02_025"
SC03_02_039,测塔底控制柜温度的PT100传感器故障,5s,0,0,M,26AI1的1通道输入异常,"1.检查26AI1的1通道输入是否正常,模块是否正常2.检查PT100阻值是否正常"
SC03_03_001,塔底温度过高,T#1m,0,0,A,塔底10分钟平均温度高于过高设定值(40℃)。,"1.塔底温度真实过高,无需检查2.检查塔筒滤网是否聚积过多灰尘3.检查PT100测温是否准确"
SC03_03_002,塔底温度过低,T#1m,0,0,A,塔底10分钟平均温度低于过低设定值(-30℃)。,"1.塔底温度真实过低,无需检查2.检查PT100测温是否准确"
SC03_03_003,塔底温度超出上限值,T#1m,0,0,A,塔底10分钟平均温度高于上限值(45℃)。,"1.塔底温度真实过高,无需检查2.检查塔筒滤网是否聚积过多灰尘3.检查PT100测温是否准确"
SC03_03_004,塔底温度超出下限值,T#1m,50,0,A,塔底10分钟平均温度低于过低设定值(-200℃)。,"1.塔底温度真实过低,无需检查2.检查PT100测温是否准确"
SC03_03_007,塔底温度过高过低故障重复出现,T#1m,50,0,M,塔底温度过高过低故障重复出现次数大于设定值,"参照 SC03_03_001, SC03_03_001"
SC03_06_001,功率曲线数据记录出错,50ms,0,0,A,在初始化或将功率曲线数据写到硬盘上的日志中记录出错。,"监控系统运行状态检测,若状态字频繁复现,咨询远景"
SC03_06_002,状态字数据记录出错,50ms,0,0,A,在初始化或将状态字数据写到硬盘上的日志中记录出错。,"监控系统运行状态检测,若状态字频繁复现,咨询远景"
SC03_06_003,10分钟平均数据记录出错,50ms,0,0,A,在初始化或将10分钟平均数据写到硬盘上的日志中记录出错。,"监控系统运行状态检测,若状态字频繁复现,咨询远景"
SC03_06_004,统计数据记录出错,50ms,0,0,A,在初始化或将统计数据写到硬盘上的日志中记录出错。,"监控系统运行状态检测,若状态字频繁复现,咨询远景"
SC03_06_006,用户登录信息记录出错,50ms,0,0,A,用户登录信息记录出错,"监控系统运行状态检测,若状态字频繁复现,咨询远景"
SC03_06_007,非易失存储器读写错误,50ms,0,0,A,非易失存储器读写错误,"监控系统运行状态检测,若状态字频繁复现,咨询远景"
SC03_06_008,除数为零错误,50ms,100,0,A,除数为零错误,"监控系统运行状态检测,若状态字频繁复现,咨询远景"
SC03_06_011,Tracelog记录出错,50ms,0,0,A,故障日志记录出错,"监控系统运行状态检测,若状态字频繁复现,咨询远景"
SC03_06_018,EtherCAT通讯故障,100ms,100,0,M,检测到任何EtherCAT通讯错误。,"用twincat查看各PLC模块间的通信,如果看到通信中断位置,则更换该模块。"
SC03_09_004,PCH自检失败,0s,100,0,M,"给PCH发送自检命令,如果震动值<2.5或>3",检查PCH是否工作正常
SC03_09_010,50号刹车模式时间过长,50s,100,0,A,"风机不在变桨模式,刹车等级是50,且发电机速度大于刹车50的最大允许速度或3个桨叶角度小于指定值。","1.考虑外部极端大风可能引起,可人工复位。2.如果频繁报出,咨询远景"
SC03_09_011,51号刹车模式时间过长,60s,100,0,A,"风机不在变桨模式,刹车等级是51,且发电机速度大于刹车51的最大允许速度或3个桨叶角度小于指定值。","1.考虑外部极端大风可能引起,可人工复位。2.如果频繁报出,咨询远景"
SC03_09_012,100号刹车模式时间过长,30s,199,0,M,"刹车等级是100,且发电机速度大于刹车100的最大允许速度或3个桨叶角度小于指定值。","1.考虑外部极端大风可能引起,可人工复位。2.如果频繁报出,咨询远景"
SC03_09_013,150号刹车模式时间过长,30s,199,0,M,"刹车等级是150,且发电机速度大于刹车150的最大允许速度或3个桨叶角度小于指定值。","1.考虑外部极端大风可能引起,可人工复位。2.如果频繁报出,咨询远景"
